estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_risk_difference,0.26731232436772384,0.03357921217920361,0.20149827786725605,0.33312637086819163,ok,,,800,0,20360605,0.16907314718299088,0.09823917718473296,False,0.53,0.10314908755551183,0.8787346480313206,False
logistic_gcomp_risk_difference,0.16757221304184017,0.000966514059373144,0.1656778802949172,0.16946654578876313,ok,,,800,0,20360605,0.16907314718299088,-0.0015009341411507116,True,0.53,0.10314908755551183,0.8787346480313206,False
ipw_risk_difference,0.16780519393287563,0.050208032523057465,0.0693992584530673,0.266211129412684,ok,,,800,0,20360605,0.16907314718299088,-0.0012679532501152502,True,0.53,0.10314908755551183,0.8787346480313206,False
aipw_risk_difference,0.17290154300723792,0.03686601337075407,0.10064548454698787,0.245157601467488,ok,,,800,0,20360605,0.16907314718299088,0.003828395824247044,True,0.53,0.10314908755551183,0.8787346480313206,False
naive_risk_difference,0.2159873744332273,0.0339358540633063,0.1494743226845397,0.2825004261819149,ok,,,800,1,20360606,0.16907314718299088,0.04691422725023642,True,0.4775,0.1345803781001897,0.8786813015202096,False
logistic_gcomp_risk_difference,0.13855927866629197,0.0008144785248693633,0.1369629300913667,0.14015562724121725,ok,,,800,1,20360606,0.16907314718299088,-0.030513868516698905,False,0.4775,0.1345803781001897,0.8786813015202096,False
ipw_risk_difference,0.1455421206019846,0.04629371694705185,0.05480810267527142,0.23627613852869778,ok,,,800,1,20360606,0.16907314718299088,-0.02353102658100628,True,0.4775,0.1345803781001897,0.8786813015202096,False
aipw_risk_difference,0.1451052755973562,0.03549269132883278,0.07554087887844688,0.21466967231626552,ok,,,800,1,20360606,0.16907314718299088,-0.02396787158563468,True,0.4775,0.1345803781001897,0.8786813015202096,False
naive_risk_difference,0.28962056012850085,0.033457973897143015,0.2240441362944193,0.35519698396258237,ok,,,800,2,20360607,0.16907314718299088,0.12054741294550997,False,0.49875,0.12456153856813067,0.8788394447393311,False
logistic_gcomp_risk_difference,0.1539943131958389,0.0015570568758567277,0.15094253779727926,0.15704608859439853,ok,,,800,2,20360607,0.16907314718299088,-0.015078833987151985,False,0.49875,0.12456153856813067,0.8788394447393311,False
ipw_risk_difference,0.1687567701954458,0.04676285180772237,0.07710326483792619,0.2604102755529654,ok,,,800,2,20360607,0.16907314718299088,-0.0003163769875450806,True,0.49875,0.12456153856813067,0.8788394447393311,False
aipw_risk_difference,0.16052883713471167,0.03305430310085307,0.09574359352296902,0.22531408074645431,ok,,,800,2,20360607,0.16907314718299088,-0.008544310048279213,True,0.49875,0.12456153856813067,0.8788394447393311,False
naive_risk_difference,0.23035768973556087,0.03407027301336148,0.16358118168592545,0.2971341977851963,ok,,,800,3,20360608,0.16907314718299088,0.06128454255256999,True,0.50125,0.1256965872928783,0.8838861002233656,False
