estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,2.59974491334166,0.12217432057639277,2.360287645176279,2.8392021815070407,ok,,,600,0,20360605,2.0,0.5997449133416599,False,0.545,0.1205655681180317,0.8969813734835618,False
adjusted_ols,1.9773302314392245,0.08168906623733513,1.8172226036833408,2.137437859195108,ok,,,600,0,20360605,2.0,-0.022669768560775516,True,0.545,0.1205655681180317,0.8969813734835618,False
ipw,1.926976368973423,0.1690106296496171,1.595721621855736,2.25823111609111,ok,,,600,0,20360605,2.0,-0.07302363102657705,True,0.545,0.1205655681180317,0.8969813734835618,False
aipw,1.9636301277532164,0.08639811718359865,1.794292929741292,2.132967325765141,ok,,,600,0,20360605,2.0,-0.03636987224678356,True,0.545,0.1205655681180317,0.8969813734835618,False
naive_difference,2.785080577445637,0.11742566837262047,2.5549304965747566,3.015230658316517,ok,,,600,1,20360606,2.0,0.7850805774456369,False,0.5166666666666667,0.1353809191839651,0.8672726016994795,False
adjusted_ols,1.9892951724159544,0.0909817689225825,1.8109741820779472,2.1676161627539616,ok,,,600,1,20360606,2.0,-0.010704827584045562,True,0.5166666666666667,0.1353809191839651,0.8672726016994795,False
ipw,1.9690940977749407,0.1699895924638559,1.6359206187991417,2.3022675767507397,ok,,,600,1,20360606,2.0,-0.03090590222505929,True,0.5166666666666667,0.1353809191839651,0.8672726016994795,False
aipw,2.00541019527496,0.09318446495923166,1.8227720000362313,2.1880483905136887,ok,,,600,1,20360606,2.0,0.005410195274960117,True,0.5166666666666667,0.1353809191839651,0.8672726016994795,False
naive_difference,2.672859084459217,0.11976983635179392,2.4381145187754445,2.907603650142989,ok,,,600,2,20360607,2.0,0.6728590844592168,False,0.5066666666666667,0.1306737050244239,0.8846952654533864,False
adjusted_ols,1.9450610945600417,0.08862835561625834,1.7713527095431671,2.1187694795769163,ok,,,600,2,20360607,2.0,-0.054938905439958274,True,0.5066666666666667,0.1306737050244239,0.8846952654533864,False
ipw,1.977904175168403,0.1664083501032363,1.6517498022393275,2.3040585480974785,ok,,,600,2,20360607,2.0,-0.022095824831597,True,0.5066666666666667,0.1306737050244239,0.8846952654533864,False
aipw,1.9701860985912503,0.09121474892437494,1.7914084758406117,2.1489637213418886,ok,,,600,2,20360607,2.0,-0.029813901408749732,True,0.5066666666666667,0.1306737050244239,0.8846952654533864,False
naive_difference,2.6050878985504498,0.12140485590543297,2.3671387534275263,2.843037043673373,ok,,,600,3,20360608,2.0,0.6050878985504498,False,0.5133333333333333,0.12325098959473017,0.8934232989721203,False
adjusted_ols,1.977815307117316,0.09145455409177783,1.798567674875261,2.1570629393593705,ok,,,600,3,20360608,2.0,-0.0221846928826841,True,0.5133333333333333,0.12325098959473017,0.8934232989721203,False
ipw,1.8896439715711226,0.17432512300692812,1.5479730088770287,2.2313149342652165,ok,,,600,3,20360608,2.0,-0.11035602842887737,True,0.5133333333333333,0.12325098959473017,0.8934232989721203,False
aipw,1.9597833138267546,0.0960533270369307,1.771522252239123,2.1480443754143863,ok,,,600,3,20360608,2.0,-0.040216686173245364,True,0.5133333333333333,0.12325098959473017,0.8934232989721203,False
naive_difference,2.76359731524522,0.11739474907169335,2.533507835090584,2.993686795399856,ok,,,600,4,20360609,2.0,0.76359731524522,False,0.5116666666666667,0.1408163015098386,0.8635240133616162,False
adjusted_ols,1.952797846205878,0.08935809052398427,1.7776592070515989,2.127936485360157,ok,,,600,4,20360609,2.0,-0.04720215379412207,True,0.5116666666666667,0.1408163015098386,0.8635240133616162,False
ipw,1.9010945951745797,0.18918410853461562,1.5303005559994163,2.271888634349743,ok,,,600,4,20360609,2.0,-0.09890540482542032,True,0.5116666666666667,0.1408163015098386,0.8635240133616162,False
aipw,1.9438961874613863,0.09637170260452342,1.7550111212277155,2.132781253695057,ok,,,600,4,20360609,2.0,-0.05610381253861374,True,0.5116666666666667,0.1408163015098386,0.8635240133616162,False
