sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
500,naive_difference,2.975685918900496,0.7756859189004959,0.009476148571789302,0.787120273998629,0.009488020778394368,0.1340129782928686,0.13411149500737296,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,adjusted_ols,2.193946322207024,-0.006053677792975835,0.0070353472819263295,0.09943024277806778,0.0047205724852655995,0.09949483542104906,0.09708889075811848,0.93,0.01804161855266871,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,ipw,2.1998672362726865,-0.00013276372731357733,0.007871652048533488,0.11104339653878753,0.0051792256368715685,0.11132197085318017,0.18659584532049492,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,aipw,2.1998446027593492,-0.00015539724065098627,0.007171648959951524,0.10116867776368527,0.004663870647245291,0.10142243223742349,0.0996121640193492,0.95,0.015411035007422448,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,naive_difference,2.9861306641926455,0.786130664192645,0.006873607992235028,0.7920880456510639,0.007016797971752836,0.0972074964505488,0.09469811095015487,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,adjusted_ols,2.1936155157620614,-0.006384484237938917,0.004739902766080359,0.06716867281055834,0.0028986064286399098,0.0670323477612059,0.06874828759309332,0.955,0.014658615214269054,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,ipw,2.194680467802985,-0.005319532197015042,0.005477407701246225,0.07745123919475853,0.0037659587306764527,0.07746224257749248,0.13162129834283648,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,aipw,2.1954560553969937,-0.004543944603006329,0.00482192730500581,0.06817325748834767,0.0031390431317484526,0.06819234991516365,0.07038278590752522,0.95,0.015411035007422448,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,naive_difference,2.979019016025603,0.7790190160256032,0.004593236257970508,0.7817090848739602,0.004667087693603861,0.06495817011205736,0.06706944117532465,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,adjusted_ols,2.1985018609950657,-0.0014981390049343824,0.003682812482111152,0.05197405957185232,0.0022659961242960385,0.052082833598785135,0.048397094659425016,0.935,0.01743201078476031,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,ipw,2.2015234126994114,0.0015234126994115016,0.004068480847098372,0.05741319996734879,0.002732829751894313,0.05753700792221696,0.09276884043766595,0.995,0.004987484335815003,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,aipw,2.200948255259393,0.0009482552593928694,0.0037703697170567213,0.053196062456664445,0.0023538955602396823,0.05332107989022425,0.04944274738887858,0.93,0.01804161855266871,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
