estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,2.2659256422976664,0.12519967100340607,2.0205387962547268,2.511312488340606,ok,,,500,0,20360607,1.5,0.7659256422976664,False,0.48,0.12379071576708603,0.872158152695253,False
adjusted_ols,1.457014192371068,0.09832653344850803,1.2642977280873193,1.6497306566548167,ok,,,500,0,20360607,1.5,-0.042985807628932005,True,0.48,0.12379071576708603,0.872158152695253,False
ipw,1.3581104893295133,0.19930327347812987,0.9674832513114417,1.7487377273475848,ok,,,500,0,20360607,1.5,-0.14188951067048672,True,0.48,0.12379071576708603,0.872158152695253,False
aipw,1.4212838460133776,0.09506936318773954,1.2349513181322502,1.607616373894505,ok,,,500,0,20360607,1.5,-0.07871615398662235,True,0.48,0.12379071576708603,0.872158152695253,False
naive_difference,2.1555111972593832,0.12532679995391452,1.9098751830520546,2.4011472114667116,ok,,,500,1,20360608,1.5,0.6555111972593832,False,0.458,0.12870072646906855,0.8820089850868732,False
adjusted_ols,1.5007421251725415,0.09168802637460387,1.3210368956647593,1.6804473546803236,ok,,,500,1,20360608,1.5,0.0007421251725414635,True,0.458,0.12870072646906855,0.8820089850868732,False
ipw,1.5001155647700228,0.1597819111057021,1.1869487736218662,1.8132823559181794,ok,,,500,1,20360608,1.5,0.00011556477002283572,True,0.458,0.12870072646906855,0.8820089850868732,False
aipw,1.4664337853468996,0.09307049119517455,1.2840189745809052,1.648848596112894,ok,,,500,1,20360608,1.5,-0.03356621465310039,True,0.458,0.12870072646906855,0.8820089850868732,False
naive_difference,2.229973938592751,0.1300598073636416,1.975061400323796,2.4848864768617056,ok,,,500,2,20360609,1.5,0.7299739385927508,False,0.482,0.133711128855047,0.8623719544208595,False
adjusted_ols,1.5097346324815917,0.09432350310493043,1.3248639635002761,1.6946053014629072,ok,,,500,2,20360609,1.5,0.009734632481591676,True,0.482,0.133711128855047,0.8623719544208595,False
ipw,1.5413701399347073,0.16272727333536824,1.2224305448949804,1.8603097349744342,ok,,,500,2,20360609,1.5,0.041370139934707284,True,0.482,0.133711128855047,0.8623719544208595,False
aipw,1.509715578894682,0.09546150239730404,1.3226144722858821,1.696816685503482,ok,,,500,2,20360609,1.5,0.009715578894682109,True,0.482,0.133711128855047,0.8623719544208595,False
naive_difference,2.0906568156883094,0.12568640692122762,1.8443159847764574,2.336997646600161,ok,,,500,3,20360610,1.5,0.5906568156883094,False,0.484,0.1241769728071268,0.8609991947970178,False
adjusted_ols,1.4832966375862446,0.09173298635794165,1.303503288130375,1.6630899870421143,ok,,,500,3,20360610,1.5,-0.016703362413755363,True,0.484,0.1241769728071268,0.8609991947970178,False
ipw,1.47960746845247,0.1796073574803902,1.1275835164324945,1.8316314204724455,ok,,,500,3,20360610,1.5,-0.020392531547529957,True,0.484,0.1241769728071268,0.8609991947970178,False
aipw,1.4965298177492592,0.08987565586677675,1.3203767691634607,1.6726828663350577,ok,,,500,3,20360610,1.5,-0.0034701822507408053,True,0.484,0.1241769728071268,0.8609991947970178,False
naive_difference,2.33354559887921,0.12732493213535362,2.0839933175599104,2.58309788019851,ok,,,500,4,20360611,1.5,0.8335455988792102,False,0.454,0.1292096608196173,0.8668064052155581,False
adjusted_ols,1.6311411303393228,0.09505682171224046,1.4448331832984864,1.8174490773801593,ok,,,500,4,20360611,1.5,0.13114113033932284,True,0.454,0.1292096608196173,0.8668064052155581,False
ipw,1.6547266414408677,0.16848869671568775,1.3244948640760277,1.9849584188057077,ok,,,500,4,20360611,1.5,0.15472664144086767,True,0.454,0.1292096608196173,0.8668064052155581,False
aipw,1.624310784601281,0.0930132430400593,1.4420081781574938,1.8066133910450681,ok,,,500,4,20360611,1.5,0.12431078460128098,True,0.454,0.1292096608196173,0.8668064052155581,False
naive_difference,2.124569286043601,0.13807957428631995,1.853938293441791,2.395200278645411,ok,,,500,5,20360612,1.5,0.624569286043601,False,0.504,0.11707441856100739,0.8971697265333664,False
adjusted_ols,1.39742941276023,0.09469613186170042,1.2118284048360413,1.5830304206844188,ok,,,500,5,20360612,1.5,-0.10257058723976997,True,0.504,0.11707441856100739,0.8971697265333664,False
ipw,1.4142421508242178,0.18820245246266834,1.0453721221952763,1.7831121794531593,ok,,,500,5,20360612,1.5,-0.08575784917578222,True,0.504,0.11707441856100739,0.8971697265333664,False
aipw,1.3903020580447598,0.09519781916713606,1.2037177610704164,1.5768863550191032,ok,,,500,5,20360612,1.5,-0.10969794195524019,True,0.504,0.11707441856100739,0.8971697265333664,False
naive_difference,2.3529546830551737,0.1303191178685758,2.0975339055357347,2.608375460574613,ok,,,500,6,20360613,1.5,0.8529546830551737,False,0.462,0.11839556555858165,0.8467871718547946,False
adjusted_ols,1.5928078545703932,0.10060915018439227,1.395617543693803,1.7899981654469834,ok,,,500,6,20360613,1.5,0.0928078545703932,True,0.462,0.11839556555858165,0.8467871718547946,False
ipw,1.431526133726778,0.22414088374299557,0.9922180741275273,1.8708341933260286,ok,,,500,6,20360613,1.5,-0.06847386627322205,True,0.462,0.11839556555858165,0.8467871718547946,False
aipw,1.5506684523354792,0.11440919476351315,1.3264305510987648,1.7749063535721936,ok,,,500,6,20360613,1.5,0.05066845233547923,True,0.462,0.11839556555858165,0.8467871718547946,False
naive_difference,2.2238838811919375,0.12721668789835225,1.9745437546786946,2.4732240077051806,ok,,,500,7,20360614,1.5,0.7238838811919375,False,0.482,0.14726917738297812,0.8784229060959786,False
adjusted_ols,1.566045754936999,0.09505371912451993,1.3797438888563538,1.7523476210176443,ok,,,500,7,20360614,1.5,0.06604575493699905,True,0.482,0.14726917738297812,0.8784229060959786,False
ipw,1.5601647002758714,0.16736841031576377,1.2321286439072523,1.8882007566444905,ok,,,500,7,20360614,1.5,0.0601647002758714,True,0.482,0.14726917738297812,0.8784229060959786,False
aipw,1.5216708096071807,0.09227498542916934,1.3408151614920505,1.702526457722311,ok,,,500,7,20360614,1.5,0.021670809607180708,True,0.482,0.14726917738297812,0.8784229060959786,False
naive_difference,2.4637852590351623,0.13655476398353777,2.196142839710061,2.7314276783602636,ok,,,500,8,20360615,1.5,0.9637852590351623,False,0.548,0.15473215817384556,0.8650997076318602,False
adjusted_ols,1.5279814177278794,0.10284126076388131,1.32641625050598,1.7295465849497789,ok,,,500,8,20360615,1.5,0.027981417727879432,True,0.548,0.15473215817384556,0.8650997076318602,False
ipw,1.6241848306181943,0.17202801150789163,1.2870161237306847,1.9613535375057038,ok,,,500,8,20360615,1.5,0.1241848306181943,True,0.548,0.15473215817384556,0.8650997076318602,False
aipw,1.5848880932417468,0.09602832425114105,1.3966760362137762,1.7731001502697175,ok,,,500,8,20360615,1.5,0.08488809324174684,True,0.548,0.15473215817384556,0.8650997076318602,False
naive_difference,2.0428468201556402,0.1266060383550633,1.7947035447544195,2.290990095556861,ok,,,500,9,20360616,1.5,0.5428468201556402,False,0.538,0.13110799349874858,0.8673439770754531,False
adjusted_ols,1.3265676003095868,0.09466573436941626,1.1410261703754954,1.5121090302436782,ok,,,500,9,20360616,1.5,-0.17343239969041324,True,0.538,0.13110799349874858,0.8673439770754531,False
ipw,1.4351497370999955,0.15417426408723042,1.132973732146057,1.737325742053934,ok,,,500,9,20360616,1.5,-0.06485026290000451,True,0.538,0.13110799349874858,0.8673439770754531,False
aipw,1.3760567173787006,0.09232313896612493,1.1951066900654093,1.557006744691992,ok,,,500,9,20360616,1.5,-0.12394328262129939,True,0.538,0.13110799349874858,0.8673439770754531,False
naive_difference,2.229380060076509,0.132385453869361,1.9699093384155728,2.4888507817374452,ok,,,500,10,20360617,1.5,0.729380060076509,False,0.52,0.1287006150633305,0.8710850542681213,False
adjusted_ols,1.5194192064913676,0.09692054318223668,1.3294584324921246,1.7093799804906107,ok,,,500,10,20360617,1.5,0.019419206491367635,True,0.52,0.1287006150633305,0.8710850542681213,False
ipw,1.564796128376079,0.17043171546404104,1.2307561042431803,1.8988361525089776,ok,,,500,10,20360617,1.5,0.06479612837607895,True,0.52,0.1287006150633305,0.8710850542681213,False
aipw,1.5611953064816848,0.10028385612847474,1.364642560239078,1.7577480527242917,ok,,,500,10,20360617,1.5,0.06119530648168481,True,0.52,0.1287006150633305,0.8710850542681213,False
naive_difference,2.1320650957343528,0.12806281154931318,1.8810665973387588,2.3830635941299465,ok,,,500,11,20360618,1.5,0.6320650957343528,False,0.506,0.12969647974645648,0.8683692894245307,False
adjusted_ols,1.5498560062326898,0.09116515337753167,1.3711755889676578,1.7285364234977219,ok,,,500,11,20360618,1.5,0.04985600623268982,True,0.506,0.12969647974645648,0.8683692894245307,False
ipw,1.5888184230443083,0.16813770945938922,1.259274568060846,1.9183622780277707,ok,,,500,11,20360618,1.5,0.08881842304430831,True,0.506,0.12969647974645648,0.8683692894245307,False
aipw,1.5594178520025965,0.08981137175554448,1.3833907979595914,1.7354449060456016,ok,,,500,11,20360618,1.5,0.05941785200259653,True,0.506,0.12969647974645648,0.8683692894245307,False
naive_difference,2.149464707410471,0.12284342439835894,1.9086960198521186,2.3902333949688237,ok,,,500,12,20360619,1.5,0.6494647074104711,False,0.502,0.13915815147461127,0.8658308799108138,False
adjusted_ols,1.4041389219737488,0.0916392741505487,1.2245292450692808,1.5837485988782167,ok,,,500,12,20360619,1.5,-0.09586107802625121,True,0.502,0.13915815147461127,0.8658308799108138,False
ipw,1.387948828960602,0.180768868793523,1.0336483565992503,1.7422493013219535,ok,,,500,12,20360619,1.5,-0.1120511710393981,True,0.502,0.13915815147461127,0.8658308799108138,False
aipw,1.3963428768493358,0.10215254584348557,1.1961275660670272,1.5965581876316444,ok,,,500,12,20360619,1.5,-0.10365712315066422,True,0.502,0.13915815147461127,0.8658308799108138,False
naive_difference,2.180017252693668,0.1288820167972143,1.9274131415162419,2.4326213638710943,ok,,,500,13,20360620,1.5,0.6800172526936681,False,0.468,0.11582001505033084,0.8512805688403217,False
adjusted_ols,1.5910509720988486,0.09514944900029045,1.4045614789094487,1.7775404652882485,ok,,,500,13,20360620,1.5,0.0910509720988486,True,0.468,0.11582001505033084,0.8512805688403217,False
ipw,1.5485055427018062,0.18405436193294303,1.187765622115738,1.9092454632878744,ok,,,500,13,20360620,1.5,0.04850554270180618,True,0.468,0.11582001505033084,0.8512805688403217,False
aipw,1.5459813388795922,0.09846172920877719,1.3529998957748535,1.738962781984331,ok,,,500,13,20360620,1.5,0.045981338879592215,True,0.468,0.11582001505033084,0.8512805688403217,False
naive_difference,2.305946989853987,0.12895824725559016,2.053193469723619,2.5587005099843547,ok,,,500,14,20360621,1.5,0.8059469898539868,False,0.464,0.1286386126895694,0.8834745028624506,False
adjusted_ols,1.5554016679075136,0.09638980024597225,1.366481130948398,1.7443222048666291,ok,,,500,14,20360621,1.5,0.05540166790751355,True,0.464,0.1286386126895694,0.8834745028624506,False
ipw,1.475669250313448,0.1728422301465171,1.1369047042186913,1.814433796408205,ok,,,500,14,20360621,1.5,-0.02433074968655191,True,0.464,0.1286386126895694,0.8834745028624506,False
aipw,1.560313758809084,0.09611676504177967,1.3719283610166975,1.7486991566014707,ok,,,500,14,20360621,1.5,0.06031375880908407,True,0.464,0.1286386126895694,0.8834745028624506,False
naive_difference,2.290354380367567,0.12683428160714058,2.0417637564125606,2.5389450043225734,ok,,,500,15,20360622,1.5,0.790354380367567,False,0.53,0.11459125678227262,0.8861822958351842,False
adjusted_ols,1.671613508607459,0.09337197115533089,1.4886078079774978,1.8546192092374203,ok,,,500,15,20360622,1.5,0.17161350860745905,True,0.53,0.11459125678227262,0.8861822958351842,False
ipw,1.667833054438747,0.1681446403799299,1.338275615100645,1.997390493776849,ok,,,500,15,20360622,1.5,0.16783305443874696,True,0.53,0.11459125678227262,0.8861822958351842,False
aipw,1.673363612946173,0.09077544077763385,1.4954470183412623,1.851280207551084,ok,,,500,15,20360622,1.5,0.17336361294617308,True,0.53,0.11459125678227262,0.8861822958351842,False
naive_difference,2.10399612904253,0.13195371937873124,1.8453715914341118,2.3626206666509484,ok,,,500,16,20360623,1.5,0.60399612904253,False,0.522,0.13060798276113036,0.849308931938756,False
adjusted_ols,1.3373661428889492,0.09362310513194956,1.153868228709521,1.5208640570683774,ok,,,500,16,20360623,1.5,-0.16263385711105083,True,0.522,0.13060798276113036,0.849308931938756,False
ipw,1.3808974908079152,0.18695479646047342,1.014472823008371,1.7473221586074594,ok,,,500,16,20360623,1.5,-0.11910250919208476,True,0.522,0.13060798276113036,0.849308931938756,False
aipw,1.3494497507123229,0.09383719559271582,1.1655322269403592,1.5333672744842866,ok,,,500,16,20360623,1.5,-0.15055024928767713,True,0.522,0.13060798276113036,0.849308931938756,False
naive_difference,2.195535318525802,0.12791731897453437,1.9448219803367928,2.4462486567148116,ok,,,500,17,20360624,1.5,0.6955353185258022,False,0.474,0.11615638249077598,0.8741320492053214,False
adjusted_ols,1.5235187868361748,0.0955314281095732,1.336280628349734,1.7107569453226157,ok,,,500,17,20360624,1.5,0.02351878683617481,True,0.474,0.11615638249077598,0.8741320492053214,False
ipw,1.533477432328796,0.17749137120781489,1.1856007371948494,1.8813541274627428,ok,,,500,17,20360624,1.5,0.033477432328796075,True,0.474,0.11615638249077598,0.8741320492053214,False
