sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
500,naive_difference,2.7439294147447497,0.7439294147447495,0.00924848266121412,0.7552829443313854,0.009225008709787774,0.13079329610861426,0.13173710209206668,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,adjusted_ols,1.9968113843998152,-0.0031886156001849153,0.006957594491950811,0.09820072999329572,0.004707992390307237,0.09839524492009179,0.09641326122143816,0.945,0.016120638945153514,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,ipw,1.9998954351287486,-0.00010456487125146463,0.007780786924415178,0.10976155666388476,0.005177472461505973,0.11003694394443185,0.18119712671006602,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,aipw,2.0003096027593497,0.00030960275934920013,0.007104865243757462,0.10022693635010102,0.004679359676800204,0.1004779678655503,0.09905765851205393,0.95,0.015411035007422448,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,naive_difference,2.7558492903227756,0.7558492903227756,0.006707112310532128,0.7617481443594828,0.006825102026097697,0.09485289193914084,0.09302153778170269,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,adjusted_ols,1.995973286189851,-0.004026713810148923,0.004649627459709475,0.06571455311733955,0.0028346573874541855,0.06575566213503505,0.06826401809932861,0.965,0.012995191418367032,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,ipw,1.994321296938187,-0.005678703061813114,0.005418375290501853,0.07664624606215058,0.003655791951992534,0.0766273982185498,0.1277814559856876,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,aipw,1.9951410553969942,-0.004858944603006159,0.004751107805305394,0.06719852225164041,0.0031642400425186097,0.06719081094559558,0.0699530927531229,0.955,0.014658615214269054,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,naive_difference,2.748759843819782,0.7487598438197816,0.004490079386880216,0.7514341657685126,0.004585516385697423,0.06349931165057876,0.06585013632616182,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,adjusted_ols,2.001156027649681,0.001156027649681196,0.0036677003450304654,0.05175219356020778,0.002295736784887986,0.05186911570662564,0.04803099051860832,0.94,0.01679285562374667,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,ipw,2.0013688277564676,0.001368827756467801,0.004047960006691806,0.05711990679584805,0.002730980274667713,0.0572467994140744,0.09003761177987181,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,aipw,2.000704505259393,0.0007045052593930268,0.0037592594767937716,0.05303556032153715,0.0023540575601056087,0.05316395736561337,0.049116256230329655,0.93,0.01804161855266871,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
