estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,2.661066728510448,0.12907966457150213,2.408075234813793,2.9140582222071028,ok,,,500,0,20360605,2.0,0.6610667285104479,False,0.548,0.13959270931680084,0.8724658290069712,False
adjusted_ols,1.934032268738337,0.09476348310507647,1.7482992548028171,2.119765282673857,ok,,,500,0,20360605,2.0,-0.06596773126166311,True,0.548,0.13959270931680084,0.8724658290069712,False
ipw,1.9631938608785886,0.16795658557445867,1.63400500218633,2.2923827195708473,ok,,,500,0,20360605,2.0,-0.036806139121411396,True,0.548,0.13959270931680084,0.8724658290069712,False
aipw,1.9353628843268103,0.09344506429629693,1.7522139237730385,2.1185118448805818,ok,,,500,0,20360605,2.0,-0.06463711567318975,True,0.548,0.13959270931680084,0.8724658290069712,False
naive_difference,2.937025712059853,0.133399330162503,2.6755678293795793,3.198483594740127,ok,,,500,1,20360606,2.0,0.9370257120598531,False,0.494,0.13866262996460157,0.8661786512727995,False
adjusted_ols,2.1225319130112794,0.09436866704592432,1.9375727243322158,2.307491101690343,ok,,,500,1,20360606,2.0,0.12253191301127941,True,0.494,0.13866262996460157,0.8661786512727995,False
ipw,2.1592904054183752,0.16889098692862642,1.8282701537248425,2.490310657111908,ok,,,500,1,20360606,2.0,0.15929040541837525,True,0.494,0.13866262996460157,0.8661786512727995,False
aipw,2.1461898170930245,0.1006878488409186,1.9488452596840111,2.343534374502038,ok,,,500,1,20360606,2.0,0.14618981709302448,True,0.494,0.13866262996460157,0.8661786512727995,False
naive_difference,2.768509323879258,0.125792097077132,2.521961344068313,3.015057303690203,ok,,,500,2,20360607,2.0,0.768509323879258,False,0.486,0.13067820051009732,0.8788394447393311,False
adjusted_ols,1.9185703741013191,0.09697331028976305,1.7285061784717561,2.1086345697308824,ok,,,500,2,20360607,2.0,-0.08142962589868086,True,0.486,0.13067820051009732,0.8788394447393311,False
ipw,1.828531233157517,0.2079032835472865,1.4210482851372168,2.236014181177817,ok,,,500,2,20360607,2.0,-0.17146876684248302,True,0.486,0.13067820051009732,0.8788394447393311,False
aipw,1.9029348933884116,0.09464398231845896,1.7174360966907865,2.088433690086037,ok,,,500,2,20360607,2.0,-0.0970651066115884,True,0.486,0.13067820051009732,0.8788394447393311,False
naive_difference,2.6326831482370006,0.1253343703250157,2.387032296374964,2.878334000099037,ok,,,500,3,20360608,2.0,0.6326831482370006,False,0.478,0.1288040069595028,0.8920249333730873,False
adjusted_ols,1.976296771660188,0.08998741469231034,1.7999246798013893,2.152668863518987,ok,,,500,3,20360608,2.0,-0.023703228339811977,True,0.478,0.1288040069595028,0.8920249333730873,False
ipw,1.9930913949452884,0.1569837977183908,1.6854088052609213,2.3007739846296555,ok,,,500,3,20360608,2.0,-0.006908605054711581,True,0.478,0.1288040069595028,0.8920249333730873,False
aipw,1.9645874767404807,0.08976345461650692,1.7886543385642315,2.14052061491673,ok,,,500,3,20360608,2.0,-0.03541252325951927,True,0.478,0.1288040069595028,0.8920249333730873,False
naive_difference,2.75355135153074,0.13149028273700047,2.4958351330492303,3.0112675700122495,ok,,,500,4,20360609,2.0,0.7535513515307399,False,0.486,0.133711128855047,0.873816186705323,False
adjusted_ols,2.044930927801313,0.0930529515136355,1.8625504941794355,2.2273113614231903,ok,,,500,4,20360609,2.0,0.044930927801313025,True,0.486,0.133711128855047,0.873816186705323,False
ipw,2.0974366701732627,0.16127267819253438,1.7813480292255772,2.4135253111209485,ok,,,500,4,20360609,2.0,0.09743667017326274,True,0.486,0.133711128855047,0.873816186705323,False
aipw,2.0450055465526416,0.09337694452458832,1.8619900982980537,2.2280209948072294,ok,,,500,4,20360609,2.0,0.04500554655264155,True,0.486,0.133711128855047,0.873816186705323,False
naive_difference,2.5970187296637013,0.12947373649901656,2.3432548691818,2.8507825901456028,ok,,,500,5,20360610,2.0,0.5970187296637013,False,0.488,0.1241769728071268,0.8725408790988759,False
adjusted_ols,1.975055550401815,0.09323676039112772,1.792314858000014,2.157796242803616,ok,,,500,5,20360610,2.0,-0.02494444959818498,True,0.488,0.1241769728071268,0.8725408790988759,False
ipw,1.9800343742597215,0.18180153779012395,1.623709907857081,2.336358840662362,ok,,,500,5,20360610,2.0,-0.019965625740278492,True,0.488,0.1241769728071268,0.8725408790988759,False
aipw,1.9961024838541375,0.09128171537060825,1.817193609280709,2.175011358427566,ok,,,500,5,20360610,2.0,-0.003897516145862534,True,0.488,0.1241769728071268,0.8725408790988759,False
naive_difference,2.815014357903346,0.12956042287534855,2.5610805952458837,3.0689481205608087,ok,,,500,6,20360611,2.0,0.8150143579033462,False,0.458,0.12931351708270483,0.8668064052155581,False
adjusted_ols,2.1015811103253474,0.09426266272992417,1.91682968628785,2.286332534362845,ok,,,500,6,20360611,2.0,0.10158111032534745,True,0.458,0.12931351708270483,0.8668064052155581,False
ipw,2.1549904238467326,0.1721317631248059,1.8176183675267332,2.492362480166732,ok,,,500,6,20360611,2.0,0.15499042384673256,True,0.458,0.12931351708270483,0.8668064052155581,False
