estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,2.1006716835582595,0.11385243849910454,1.877525004547953,2.323818362568566,ok,,,500,0,20360607,1.5,0.6006716835582595,False,0.48,0.12379071576708603,0.872158152695253,False
adjusted_ols,1.4282203527561312,0.09651762207389326,1.2390492896178524,1.61739141589441,ok,,,500,0,20360607,1.5,-0.07177964724386876,True,0.48,0.12379071576708603,0.872158152695253,False
ipw,1.3519432168126355,0.19484832515378642,0.9700475170632643,1.7338389165620067,ok,,,500,0,20360607,1.5,-0.14805678318736448,True,0.48,0.12379071576708603,0.872158152695253,False
aipw,1.4085895316302457,0.09324133791444174,1.2258398674476108,1.5913391958128806,ok,,,500,0,20360607,1.5,-0.0914104683697543,True,0.48,0.12379071576708603,0.872158152695253,False
naive_difference,2.0391661719177208,0.11240251191101001,1.8188612968003066,2.259471047035135,ok,,,500,1,20360608,1.5,0.5391661719177208,False,0.458,0.12870072646906855,0.8820089850868732,False
adjusted_ols,1.5083488091698403,0.08967926259395409,1.3325806843255803,1.6841169340141002,ok,,,500,1,20360608,1.5,0.008348809169840266,True,0.458,0.12870072646906855,0.8820089850868732,False
ipw,1.5235558618182559,0.1543274789145628,1.221079561320848,1.8260321623156637,ok,,,500,1,20360608,1.5,0.023555861818255863,True,0.458,0.12870072646906855,0.8820089850868732,False
aipw,1.4896575607071167,0.09051284442464319,1.312255645496539,1.6670594759176944,ok,,,500,1,20360608,1.5,-0.010342439292883254,True,0.458,0.12870072646906855,0.8820089850868732,False
naive_difference,2.1137453379077793,0.11869864214118676,1.881100274297245,2.3463904015183137,ok,,,500,2,20360609,1.5,0.6137453379077793,False,0.482,0.133711128855047,0.8623719544208595,False
adjusted_ols,1.5264156230889658,0.0931943017635339,1.3437581480680818,1.7090730981098499,ok,,,500,2,20360609,1.5,0.026415623088965834,True,0.482,0.133711128855047,0.8623719544208595,False
ipw,1.5813457068205794,0.15977899493313738,1.2681846312656224,1.8945067823755364,ok,,,500,2,20360609,1.5,0.0813457068205794,True,0.482,0.133711128855047,0.8623719544208595,False
aipw,1.5296993887363013,0.09424133654701798,1.3449897632492278,1.7144090142233748,ok,,,500,2,20360609,1.5,0.02969938873630129,True,0.482,0.133711128855047,0.8623719544208595,False
naive_difference,1.991572715456608,0.1164768517991047,1.7632822808977535,2.219863150015463,ok,,,500,3,20360610,1.5,0.4915727154566081,False,0.484,0.1241769728071268,0.8609991947970178,False
adjusted_ols,1.4802991832189152,0.09299908329119744,1.2980243293729274,1.662574037064903,ok,,,500,3,20360610,1.5,-0.019700816781084818,True,0.484,0.1241769728071268,0.8609991947970178,False
ipw,1.495825709692154,0.1750196732458828,1.1527934535442552,1.8388579658400526,ok,,,500,3,20360610,1.5,-0.004174290307846107,True,0.484,0.1241769728071268,0.8609991947970178,False
aipw,1.5029367697841471,0.09134469029892173,1.3239044666192954,1.6819690729489989,ok,,,500,3,20360610,1.5,0.002936769784147142,True,0.484,0.1241769728071268,0.8609991947970178,False
naive_difference,2.1996688800964934,0.11619504406037576,1.9719307785561122,2.4274069816368744,ok,,,500,4,20360611,1.5,0.6996688800964934,False,0.454,0.1292096608196173,0.8668064052155581,False
