sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
500,naive_difference,2.0113862875485777,0.011386287548577987,0.00925569529944992,0.1310631860741776,0.005914390520580927,0.13089529821674978,0.13591330691810466,0.975,0.011039701082909813,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,adjusted_ols,2.0040283064197917,0.004028306419791716,0.0062532781755111995,0.08830527364057227,0.0035328588996605278,0.08843470805099621,0.08967192275465251,0.975,0.011039701082909813,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,ipw,2.004140113646315,0.00414011364631533,0.006257482679501171,0.08836969134477939,0.00355626374808347,0.08849416871665289,0.17438917891899122,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,aipw,2.004061734644879,0.004061734644878655,0.006250027862877619,0.08826100213224396,0.0035292214446769284,0.08838874168891256,0.0893276057693458,0.975,0.011039701082909813,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,naive_difference,1.9980421458698863,-0.0019578541301138843,0.007067837029817074,0.09972333191648504,0.00486599212293318,0.09995430984210082,0.09605346115324483,0.93,0.01804161855266871,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,adjusted_ols,1.998534081526378,-0.0014659184736219798,0.004547623389936646,0.06416886891487478,0.0031397846955623743,0.06431310674613516,0.06337878638260415,0.955,0.014658615214269054,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,ipw,1.9985295255379838,-0.0014704744620159772,0.004552222498599714,0.06423383454860976,0.0031429612260420806,0.06437814796459657,0.12265634369291836,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,aipw,1.9985290453811888,-0.0014709546188111933,0.004548817580258486,0.06418582586370505,0.003142780205168862,0.06432999514762716,0.06322475268146135,0.95,0.015411035007422448,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,naive_difference,1.994204511232974,-0.0057954887670260925,0.004883849929306419,0.06913851116645485,0.0033661597770892,0.0690680680662002,0.06793288766239726,0.955,0.014658615214269054,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,adjusted_ols,1.997286190362913,-0.0027138096370864996,0.003244786291518415,0.045853721116108824,0.0022257004852027024,0.04588820780467644,0.04469889000343139,0.96,0.013856406460551024,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,ipw,1.997275941989319,-0.002724058010681205,0.0032438160182959525,0.045840665590670536,0.0022276959482460273,0.045874486069172285,0.0867837979842221,1.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,aipw,1.997288152957289,-0.0027118470427109254,0.0032440995386292886,0.0458439341229947,0.002227180644037217,0.04587849565217841,0.044657617490206594,0.96,0.013856406460551024,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
