scenario,scenario_title,confounding_strength,heterogeneity_coefficient,truth,sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
randomized_constant_effect_n500,"Randomized, Constant Effect, N=500",0.0,0.0,2.0,500,naive_difference,2.0111072931950957,0.011107293195096077,0.015152608993522807,0.13513657960618325,0.009830374568998051,0.13552905498396664,0.13520656643351922,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_constant_effect_n500,"Randomized, Constant Effect, N=500",0.0,0.0,2.0,500,adjusted_ols,1.9964649577453053,-0.0035350422546945757,0.010503802620625054,0.0934267424974959,0.005850948204124915,0.09394886672783223,0.08951274668044792,0.95,0.02436698586202242,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_constant_effect_n500,"Randomized, Constant Effect, N=500",0.0,0.0,2.0,500,ipw,1.996217090868645,-0.00378290913135487,0.0105345442726863,0.09370946388235246,0.005910614099116303,0.0942238284228306,0.1733912591764947,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_constant_effect_n500,"Randomized, Constant Effect, N=500",0.0,0.0,2.0,500,aipw,1.9964683748092298,-0.0035316251907703184,0.010508851926139366,0.09347146041506148,0.005840664881167421,0.09399402908930889,0.0891617132824453,0.95,0.02436698586202242,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n500,"Randomized, Heterogeneous Effect, N=500",0.0,0.75,2.3,500,naive_difference,2.2980369860541536,-0.001963013945846445,0.017376586673656137,0.1544589551094116,0.013444292140402058,0.15542091607684835,0.14033379496020415,0.9125,0.031591879890250286,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n500,"Randomized, Heterogeneous Effect, N=500",0.0,0.75,2.3,500,adjusted_ols,2.302627568674358,0.0026275686743581217,0.008919244243505813,0.07931950976454712,0.005512634879822147,0.07977614574561075,0.09127644660428849,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n500,"Randomized, Heterogeneous Effect, N=500",0.0,0.75,2.3,500,ipw,2.302612818319349,0.0026128183193496524,0.008912680253614249,0.0792607121752006,0.0055167933037370736,0.07971743563520611,0.18746706163132726,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n500,"Randomized, Heterogeneous Effect, N=500",0.0,0.75,2.3,500,aipw,2.302378116892584,0.0023781168925841476,0.008891130387212638,0.0790618694781856,0.005501537254939946,0.07952468777048594,0.09087993824393256,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n500,"Moderate Confounding, Constant Effect, N=500",0.8,0.0,2.0,500,naive_difference,2.739492447288152,0.7394924472881519,0.014230543036462137,0.750231457385063,0.014530390920122488,0.12728184634506243,0.1318700066127406,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n500,"Moderate Confounding, Constant Effect, N=500",0.8,0.0,2.0,500,adjusted_ols,1.9962828718480854,-0.0037171281519145227,0.010554138172048954,0.09388084902427718,0.00706277213670983,0.09439908158650734,0.09651668304849671,0.9125,0.031591879890250286,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n500,"Moderate Confounding, Constant Effect, N=500",0.8,0.0,2.0,500,ipw,1.9902645602537166,-0.00973543974628326,0.011556402373054702,0.1031758848563031,0.007112467944696958,0.10336360512596078,0.18264543680513412,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n500,"Moderate Confounding, Constant Effect, N=500",0.8,0.0,2.0,500,aipw,1.996885634346605,-0.003114365653394913,0.011170918488576376,0.09933812683868179,0.007850555870868312,0.09991573244626394,0.09924158487676664,0.9125,0.031591879890250286,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
