estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,2.7047129837010724,0.09232206704749639,2.5237650573096873,2.8856609100924575,ok,,,1000,0,20440605,2.0,0.7047129837010724,False,0.496,0.12245193903354742,0.8667808241108932,False
adjusted_ols,1.973393117361892,0.06457397139222404,1.8468304590944131,2.099955775629371,ok,,,1000,0,20440605,2.0,-0.026606882638108065,True,0.496,0.12245193903354742,0.8667808241108932,False
ipw,1.9731482062678136,0.1219210544687003,1.7341873305520148,2.2121090819836122,ok,,,1000,0,20440605,2.0,-0.02685179373218638,True,0.496,0.12245193903354742,0.8667808241108932,False
aipw,1.9703321577054922,0.06648473944076035,1.8400244628800722,2.1006398525309122,ok,,,1000,0,20440605,2.0,-0.029667842294507807,True,0.496,0.12245193903354742,0.8667808241108932,False
naive_difference,2.9336611326966233,0.09259760497997548,2.7521731618812044,3.115149103512042,ok,,,1000,1,20440606,2.0,0.9336611326966233,False,0.491,0.13765924655078984,0.878245145826105,False
adjusted_ols,2.134130679736746,0.0698600674521214,1.997207463573049,2.2710538959004425,ok,,,1000,1,20440606,2.0,0.13413067973674586,True,0.491,0.13765924655078984,0.878245145826105,False
ipw,2.1643128444669126,0.12681337212080313,1.9157632023520628,2.4128624865817625,ok,,,1000,1,20440606,2.0,0.16431284446691263,True,0.491,0.13765924655078984,0.878245145826105,False
aipw,2.14936176783943,0.07365132218021134,2.00500782895246,2.2937157067264002,ok,,,1000,1,20440606,2.0,0.14936176783943012,False,0.491,0.13765924655078984,0.878245145826105,False
naive_difference,2.704221159181559,0.09723419926486543,2.513645630556832,2.894796687806286,ok,,,1000,2,20440607,2.0,0.704221159181559,False,0.528,0.13632080825503126,0.8912854076079323,False
adjusted_ols,2.000726631307382,0.06632698703732,1.8707281255111798,2.1307251371035845,ok,,,1000,2,20440607,2.0,0.0007266313073821529,True,0.528,0.13632080825503126,0.8912854076079323,False
ipw,1.9783818818777157,0.13202607469232036,1.7196155304605727,2.2371482332948585,ok,,,1000,2,20440607,2.0,-0.021618118122284313,True,0.528,0.13632080825503126,0.8912854076079323,False
aipw,2.001675146294118,0.06493668247469425,1.8744015873682038,2.128948705220032,ok,,,1000,2,20440607,2.0,0.001675146294117802,True,0.528,0.13632080825503126,0.8912854076079323,False
naive_difference,2.608991160514874,0.09277458404944804,2.4271563170972716,2.790826003932476,ok,,,1000,3,20440608,2.0,0.6089911605148739,False,0.492,0.1293567604396079,0.8826335815831164,False
adjusted_ols,1.9442260466762495,0.06432931861919114,1.818142899032633,2.070309194319866,ok,,,1000,3,20440608,2.0,-0.05577395332375046,True,0.492,0.1293567604396079,0.8826335815831164,False
ipw,1.9556213539363907,0.1286455019314595,1.703480803377652,2.207761904495129,ok,,,1000,3,20440608,2.0,-0.044378646063609306,True,0.492,0.1293567604396079,0.8826335815831164,False
aipw,1.9366843413966826,0.06674958408890376,1.8058575605994034,2.0675111221939617,ok,,,1000,3,20440608,2.0,-0.06331565860331745,True,0.492,0.1293567604396079,0.8826335815831164,False
naive_difference,2.626419826855895,0.09273286423976344,2.4446667527627164,2.808172900949074,ok,,,1000,4,20440609,2.0,0.6264198268558951,False,0.494,0.1196173127832421,0.8811643677160288,False
adjusted_ols,1.8819654500856566,0.06831997062410959,1.7480607682375673,2.0158701319337458,ok,,,1000,4,20440609,2.0,-0.11803454991434337,True,0.494,0.1196173127832421,0.8811643677160288,False
ipw,1.8534549262613036,0.1306247913169751,1.5974350397919719,2.1094748127306353,ok,,,1000,4,20440609,2.0,-0.1465450737386964,True,0.494,0.1196173127832421,0.8811643677160288,False
aipw,1.8858623398446543,0.06614894252467558,1.7562127948808801,2.0155118848084284,ok,,,1000,4,20440609,2.0,-0.11413766015534565,True,0.494,0.1196173127832421,0.8811643677160288,False
naive_difference,2.8729782775521935,0.09536977916981078,2.6860569451658263,3.0598996099385607,ok,,,1000,5,20440610,2.0,0.8729782775521935,False,0.496,0.13231631965433435,0.8801965965640339,False
adjusted_ols,2.062352377852968,0.0690201932558854,1.9270752848654384,2.1976294708404978,ok,,,1000,5,20440610,2.0,0.06235237785296821,True,0.496,0.13231631965433435,0.8801965965640339,False
ipw,2.1164048252581935,0.13119125687978977,1.859274686687263,2.373534963829124,ok,,,1000,5,20440610,2.0,0.11640482525819351,True,0.496,0.13231631965433435,0.8801965965640339,False
aipw,2.0642461637249094,0.07358119256801798,1.9200296763520879,2.2084626510977308,ok,,,1000,5,20440610,2.0,0.06424616372490943,True,0.496,0.13231631965433435,0.8801965965640339,False
naive_difference,2.706276668783666,0.0946670741770512,2.520732612874864,2.8918207246924683,ok,,,1000,6,20440611,2.0,0.7062766687836661,False,0.511,0.1268503636236723,0.8945590295222049,False
adjusted_ols,2.0383507524163402,0.0689856971945014,1.9031412704667316,2.173560234365949,ok,,,1000,6,20440611,2.0,0.03835075241634023,True,0.511,0.1268503636236723,0.8945590295222049,False
ipw,2.0495765016787684,0.12340027243628875,1.8077164120212117,2.2914365913363253,ok,,,1000,6,20440611,2.0,0.04957650167876837,True,0.511,0.1268503636236723,0.8945590295222049,False
aipw,2.0324665752859943,0.07057844868205937,1.8941353577844495,2.170797792787539,ok,,,1000,6,20440611,2.0,0.03246657528599428,True,0.511,0.1268503636236723,0.8945590295222049,False
naive_difference,2.792668385504358,0.08957733952838053,2.617100026197816,2.9682367448109,ok,,,1000,7,20440612,2.0,0.7926683855043581,False,0.519,0.12649685020736476,0.8747263312664308,False
adjusted_ols,2.0484523796998326,0.06781983248673337,1.9155279505882956,2.1813768088113696,ok,,,1000,7,20440612,2.0,0.048452379699832626,True,0.519,0.12649685020736476,0.8747263312664308,False
ipw,2.035634309397468,0.12452094740064415,1.791577737171399,2.279690881623537,ok,,,1000,7,20440612,2.0,0.035634309397468034,True,0.519,0.12649685020736476,0.8747263312664308,False
aipw,2.016733672301502,0.06813579066214792,1.8831899765455316,2.1502773680574725,ok,,,1000,7,20440612,2.0,0.016733672301501912,True,0.519,0.12649685020736476,0.8747263312664308,False
naive_difference,2.799447313293245,0.09044126188629768,2.6221856972797464,2.9767089293067435,ok,,,1000,8,20440613,2.0,0.7994473132932449,False,0.488,0.12388848814173316,0.8921833801585421,False
adjusted_ols,2.0279720690738383,0.06737618196910666,1.8959171789985723,2.1600269591491044,ok,,,1000,8,20440613,2.0,0.027972069073838313,True,0.488,0.12388848814173316,0.8921833801585421,False
ipw,1.9818631011381256,0.12881124033914915,1.7293977092694603,2.234328493006791,ok,,,1000,8,20440613,2.0,-0.018136898861874418,True,0.488,0.12388848814173316,0.8921833801585421,False
