estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,3.027916958182394,0.13156527430467085,2.770053758929106,3.285780157435682,ok,,,500,0,20390605,2.3,0.7279169581823943,False,0.512,0.1420077436113385,0.8774668670374353,False
adjusted_ols,2.294851158101679,0.10014820143422268,2.09856429017414,2.4911380260292177,ok,,,500,0,20390605,2.3,-0.005148841898320988,True,0.512,0.1420077436113385,0.8774668670374353,False
ipw,2.2387848831785697,0.18865449726788835,1.8690288630119984,2.608540903345141,ok,,,500,0,20390605,2.3,-0.061215116821430104,True,0.512,0.1420077436113385,0.8774668670374353,False
aipw,2.2701518797816886,0.09883410643003004,2.0764405907346313,2.463863168828746,ok,,,500,0,20390605,2.3,-0.02984812021831118,True,0.512,0.1420077436113385,0.8774668670374353,False
naive_difference,3.3407159972458493,0.13513216792655888,3.0758618149569754,3.6055701795347233,ok,,,500,1,20390606,2.3,1.0407159972458495,False,0.518,0.13341742136380125,0.8885858020386734,False
adjusted_ols,2.4679942469025695,0.10244748403494718,2.2672008678873308,2.6687876259178083,ok,,,500,1,20390606,2.3,0.1679942469025697,True,0.518,0.13341742136380125,0.8885858020386734,False
ipw,2.494890542020902,0.19581757545820233,2.1110951465828713,2.878685937458933,ok,,,500,1,20390606,2.3,0.1948905420209024,True,0.518,0.13341742136380125,0.8885858020386734,False
aipw,2.4620421596716118,0.09767415791465335,2.270604327938613,2.6534799914046103,ok,,,500,1,20390606,2.3,0.16204215967161195,True,0.518,0.13341742136380125,0.8885858020386734,False
naive_difference,3.0925536288521593,0.13573090748059854,2.826525938601248,3.3585813191030707,ok,,,500,2,20390607,2.3,0.7925536288521595,False,0.502,0.10522397957587268,0.8814843782391465,False
adjusted_ols,2.183866718781006,0.09591402389438232,1.9958786863357023,2.3718547512263095,ok,,,500,2,20390607,2.3,-0.11613328121899391,True,0.502,0.10522397957587268,0.8814843782391465,False
ipw,2.0621850822984706,0.2256331773858442,1.6199521809048787,2.5044179836920626,ok,,,500,2,20390607,2.3,-0.23781491770152918,True,0.502,0.10522397957587268,0.8814843782391465,False
aipw,2.1948519904364674,0.10025595180038636,1.9983539356719264,2.3913500452010084,ok,,,500,2,20390607,2.3,-0.10514800956353243,True,0.502,0.10522397957587268,0.8814843782391465,False
naive_difference,2.9755423135599077,0.1373545338527359,2.7063323740952576,3.244752253024558,ok,,,500,3,20390608,2.3,0.6755423135599079,False,0.516,0.1315843530060499,0.8710505150476232,False
adjusted_ols,2.288610427357999,0.09330497081936248,2.105736044973488,2.47148480974251,ok,,,500,3,20390608,2.3,-0.0113895726420008,True,0.516,0.1315843530060499,0.8710505150476232,False
ipw,2.2953653026290635,0.18042155544488728,1.9417455519223878,2.648985053335739,ok,,,500,3,20390608,2.3,-0.004634697370936358,True,0.516,0.1315843530060499,0.8710505150476232,False
aipw,2.2930224603987766,0.10782315458593632,2.0816929607108468,2.5043519600867064,ok,,,500,3,20390608,2.3,-0.0069775396012232704,True,0.516,0.1315843530060499,0.8710505150476232,False
naive_difference,3.019294588862474,0.13392234658921015,2.7568116128225313,3.2817775649024163,ok,,,500,4,20390609,2.3,0.719294588862474,False,0.466,0.12487894255326448,0.8716983486709029,False
adjusted_ols,2.240274569619848,0.09483842699802293,2.054394668353292,2.426154470886404,ok,,,500,4,20390609,2.3,-0.05972543038015177,True,0.466,0.12487894255326448,0.8716983486709029,False
ipw,2.238739136273247,0.18643807746604502,1.8733272190929102,2.604151053453584,ok,,,500,4,20390609,2.3,-0.06126086372675266,True,0.466,0.12487894255326448,0.8716983486709029,False
aipw,2.2275082571584015,0.09660840581420806,2.038159261158724,2.416857253158079,ok,,,500,4,20390609,2.3,-0.07249174284159832,True,0.466,0.12487894255326448,0.8716983486709029,False
naive_difference,3.0418977724956844,0.14469713337190304,2.7582966024205655,3.3254989425708033,ok,,,500,5,20390610,2.3,0.7418977724956846,False,0.5,0.11460267044652739,0.8882743432166615,False
adjusted_ols,2.1296439165579955,0.10223317568229934,1.9292705741955327,2.330017258920458,ok,,,500,5,20390610,2.3,-0.17035608344200437,True,0.5,0.11460267044652739,0.8882743432166615,False
ipw,2.132251521915322,0.18726805140952588,1.765212885697656,2.4992901581329883,ok,,,500,5,20390610,2.3,-0.16774847808467763,True,0.5,0.11460267044652739,0.8882743432166615,False
aipw,2.104327038779924,0.10717196330966594,1.894273850540531,2.3143802270193174,ok,,,500,5,20390610,2.3,-0.1956729612200756,True,0.5,0.11460267044652739,0.8882743432166615,False
naive_difference,3.071861411617121,0.13690308347214405,2.803536298639238,3.340186524595004,ok,,,500,6,20390611,2.3,0.7718614116171212,False,0.51,0.1335257583379387,0.8909847385545383,False
adjusted_ols,2.254954833633518,0.09401335360407422,2.0706920465037038,2.439217620763332,ok,,,500,6,20390611,2.3,-0.045045166366481926,True,0.51,0.1335257583379387,0.8909847385545383,False
ipw,2.2609726870295628,0.21819328790071219,1.8333217010757878,2.6886236729833377,ok,,,500,6,20390611,2.3,-0.039027312970437045,True,0.51,0.1335257583379387,0.8909847385545383,False
aipw,2.2636047198194773,0.10501004170015714,2.05778882007212,2.4694206195668347,ok,,,500,6,20390611,2.3,-0.036395280180522516,True,0.51,0.1335257583379387,0.8909847385545383,False
naive_difference,3.261620436604443,0.14312641953730237,2.9810978090751603,3.5421430641337257,ok,,,500,7,20390612,2.3,0.9616204366044432,False,0.506,0.12185318048833178,0.869354745324195,False
adjusted_ols,2.230918629775397,0.10103288012022904,2.0328978234853956,2.4289394360653986,ok,,,500,7,20390612,2.3,-0.0690813702246027,True,0.506,0.12185318048833178,0.869354745324195,False
ipw,2.251066715385268,0.1994188236063628,1.860213003277451,2.641920427493085,ok,,,500,7,20390612,2.3,-0.048933284614731676,True,0.506,0.12185318048833178,0.869354745324195,False
aipw,2.263939875882525,0.10393891066151577,2.060223354393628,2.467656397371422,ok,,,500,7,20390612,2.3,-0.036060124117474945,True,0.506,0.12185318048833178,0.869354745324195,False
naive_difference,3.0485970682982213,0.13218345790439678,2.7895222514536373,3.3076718851428053,ok,,,500,8,20390613,2.3,0.7485970682982215,False,0.506,0.14026698672012056,0.8957597024845741,False
adjusted_ols,2.24998015230428,0.09715183972738826,2.0595660454067914,2.440394259201769,ok,,,500,8,20390613,2.3,-0.050019847695719655,True,0.506,0.14026698672012056,0.8957597024845741,False
ipw,2.325613708256017,0.18680707035990624,1.959478578293161,2.691748838218873,ok,,,500,8,20390613,2.3,0.025613708256017276,True,0.506,0.14026698672012056,0.8957597024845741,False
aipw,2.2652621444497245,0.09467209440069532,2.0797082490833856,2.4508160398160634,ok,,,500,8,20390613,2.3,-0.03473785555027531,True,0.506,0.14026698672012056,0.8957597024845741,False
naive_difference,3.0330112722148277,0.13149207236419672,2.7752915461284675,3.290730998301188,ok,,,500,9,20390614,2.3,0.7330112722148279,False,0.496,0.11767039360840283,0.8740035365877773,False
adjusted_ols,2.168365032128466,0.09937283109312431,1.9735978621441606,2.363132202112772,ok,,,500,9,20390614,2.3,-0.13163496787153361,True,0.496,0.11767039360840283,0.8740035365877773,False
ipw,2.2535823928642653,0.20274187798505056,1.8562156138555521,2.6509491718729783,ok,,,500,9,20390614,2.3,-0.04641760713573451,True,0.496,0.11767039360840283,0.8740035365877773,False
aipw,2.2012450111006956,0.10176067344468238,2.0017977561065767,2.4006922660948145,ok,,,500,9,20390614,2.3,-0.09875498889930423,True,0.496,0.11767039360840283,0.8740035365877773,False
naive_difference,3.0886469009279804,0.1265515024813702,2.8406105138750637,3.336683287980897,ok,,,500,10,20390615,2.3,0.7886469009279806,False,0.53,0.1451253592106682,0.8715768824450549,False
adjusted_ols,2.296039400178211,0.09850867626383948,2.10296594253637,2.489112857820052,ok,,,500,10,20390615,2.3,-0.003960599821788868,True,0.53,0.1451253592106682,0.8715768824450549,False
ipw,2.3781517154364398,0.17123247005226094,2.042542241150175,2.7137611897227045,ok,,,500,10,20390615,2.3,0.07815171543643995,True,0.53,0.1451253592106682,0.8715768824450549,False
aipw,2.284786805399501,0.09699932578177732,2.0946716203425497,2.474901990456452,ok,,,500,10,20390615,2.3,-0.01521319460049897,True,0.53,0.1451253592106682,0.8715768824450549,False
naive_difference,3.1484578312977534,0.13155353541413925,2.8906176398471257,3.406298022748381,ok,,,500,11,20390616,2.3,0.8484578312977535,False,0.542,0.12539066576029698,0.9068279988405189,False
adjusted_ols,2.326379290345854,0.09743181011837819,2.135416451565287,2.5173421291264204,ok,,,500,11,20390616,2.3,0.026379290345853956,True,0.542,0.12539066576029698,0.9068279988405189,False
ipw,2.266366444633172,0.19971157300298206,1.8749389542514856,2.6577939350148587,ok,,,500,11,20390616,2.3,-0.03363355536682766,True,0.542,0.12539066576029698,0.9068279988405189,False
aipw,2.349237737541152,0.10160691484840303,2.1500918438580543,2.54838363122425,ok,,,500,11,20390616,2.3,0.04923773754115235,True,0.542,0.12539066576029698,0.9068279988405189,False
naive_difference,3.237656783737653,0.1332176318179323,2.9765550232687885,3.498758544206517,ok,,,500,12,20390617,2.3,0.937656783737653,False,0.516,0.12221172847683591,0.865058704878656,False
adjusted_ols,2.339772933036555,0.09616436922951489,2.1512942327506943,2.528251633322416,ok,,,500,12,20390617,2.3,0.03977293303655527,True,0.516,0.12221172847683591,0.865058704878656,False
ipw,2.3485648419220615,0.1880639660914951,1.9799662415929693,2.7171634422511537,ok,,,500,12,20390617,2.3,0.048564841922061674,True,0.516,0.12221172847683591,0.865058704878656,False
aipw,2.3585122182024287,0.09613856949287027,2.1700840844712017,2.5469403519336558,ok,,,500,12,20390617,2.3,0.05851221820242891,True,0.516,0.12221172847683591,0.865058704878656,False
naive_difference,3.14080516014308,0.13895903715228616,2.868450451998236,3.413159868287924,ok,,,500,13,20390618,2.3,0.8408051601430802,False,0.49,0.126190819371099,0.8532420314195457,False
adjusted_ols,2.417103644274259,0.09772372886581161,2.2255686552623106,2.608638633286207,ok,,,500,13,20390618,2.3,0.11710364427425901,True,0.49,0.126190819371099,0.8532420314195457,False
ipw,2.4005555113264574,0.18643938785797157,2.035141025825139,2.765969996827776,ok,,,500,13,20390618,2.3,0.10055551132645757,True,0.49,0.126190819371099,0.8532420314195457,False
aipw,2.4253087009670504,0.10707488830490676,2.215445776240784,2.635171625693317,ok,,,500,13,20390618,2.3,0.1253087009670506,True,0.49,0.126190819371099,0.8532420314195457,False
naive_difference,2.976832084593658,0.13447510405855237,2.713265723821619,3.2403984453656967,ok,,,500,14,20390619,2.3,0.676832084593658,False,0.514,0.17039091493676523,0.8727840826167111,False
adjusted_ols,2.346453003453072,0.09891942611326987,2.152574490899692,2.540331516006452,ok,,,500,14,20390619,2.3,0.04645300345307213,True,0.514,0.17039091493676523,0.8727840826167111,False
ipw,2.2902121788354712,0.18373675998231828,1.930094746634047,2.6503296110368955,ok,,,500,14,20390619,2.3,-0.009787821164528587,True,0.514,0.17039091493676523,0.8727840826167111,False
aipw,2.3364657187760463,0.09825776993996972,2.1438840284924834,2.529047409059609,ok,,,500,14,20390619,2.3,0.03646571877604643,True,0.514,0.17039091493676523,0.8727840826167111,False
naive_difference,3.1877193269217106,0.1382056585718171,2.9168412136613098,3.4585974401821113,ok,,,500,15,20390620,2.3,0.8877193269217107,False,0.494,0.1445402414395035,0.8989787465924055,False
adjusted_ols,2.246069697689059,0.10023117536148399,2.049620203852432,2.442519191525686,ok,,,500,15,20390620,2.3,-0.05393030231094098,True,0.494,0.1445402414395035,0.8989787465924055,False
ipw,2.330956873451864,0.17875426234365488,1.9806049571752762,2.681308789728452,ok,,,500,15,20390620,2.3,0.030956873451864375,True,0.494,0.1445402414395035,0.8989787465924055,False
aipw,2.275257081182097,0.10000847734294072,2.079244067441243,2.471270094922951,ok,,,500,15,20390620,2.3,-0.024742918817902915,True,0.494,0.1445402414395035,0.8989787465924055,False
naive_difference,3.1435010684816693,0.14150479828787638,2.8661567601978266,3.420845376765512,ok,,,500,16,20390621,2.3,0.8435010684816695,False,0.468,0.1438881773042404,0.8802676497534487,False
adjusted_ols,2.417867910997453,0.09553520159898832,2.2306223566076624,2.605113465387243,ok,,,500,16,20390621,2.3,0.11786791099745297,True,0.468,0.1438881773042404,0.8802676497534487,False
ipw,2.399489120382032,0.18910224570587042,2.0288555294028816,2.770122711361182,ok,,,500,16,20390621,2.3,0.09948912038203206,True,0.468,0.1438881773042404,0.8802676497534487,False
aipw,2.4232391107165347,0.09695427948776085,2.233212214773493,2.6132660066595763,ok,,,500,16,20390621,2.3,0.12323911071653493,True,0.468,0.1438881773042404,0.8802676497534487,False
naive_difference,2.959775566747842,0.13453984155989349,2.6960823228047257,3.2234688106909584,ok,,,500,17,20390622,2.3,0.6597755667478422,False,0.51,0.1376297926521135,0.8688489829511864,False
adjusted_ols,2.2483075817664364,0.09804039234605812,2.0561519437379863,2.4404632197948866,ok,,,500,17,20390622,2.3,-0.05169241823356341,True,0.51,0.1376297926521135,0.8688489829511864,False
ipw,2.2068763333219157,0.1869339667975655,1.840492490911481,2.5732601757323503,ok,,,500,17,20390622,2.3,-0.09312366667808414,True,0.51,0.1376297926521135,0.8688489829511864,False
aipw,2.2356912760323313,0.0976620099015346,2.0442772539675294,2.4271052980971333,ok,,,500,17,20390622,2.3,-0.06430872396766851,True,0.51,0.1376297926521135,0.8688489829511864,False
naive_difference,3.2206186432993555,0.14019076859046867,2.945849785897048,3.4953875007016633,ok,,,500,18,20390623,2.3,0.9206186432993557,False,0.518,0.1748668010141039,0.8751182362045693,False
adjusted_ols,2.40566129919572,0.09861219590386501,2.2123849467877363,2.5989376516037037,ok,,,500,18,20390623,2.3,0.1056612991957202,True,0.518,0.1748668010141039,0.8751182362045693,False
ipw,2.407394961144495,0.18572804881467836,2.0433746745488284,2.771415247740162,ok,,,500,18,20390623,2.3,0.10739496114449532,True,0.518,0.1748668010141039,0.8751182362045693,False
aipw,2.3938535405413557,0.09697978443955964,2.2037766558113607,2.5839304252713506,ok,,,500,18,20390623,2.3,0.09385354054135586,True,0.518,0.1748668010141039,0.8751182362045693,False
naive_difference,3.1200045752587964,0.14051014443452292,2.8446097527046104,3.3953993978129824,ok,,,500,19,20390624,2.3,0.8200045752587966,False,0.514,0.13100374075585203,0.8623133576076628,False
adjusted_ols,2.283449870577032,0.09416372117638921,2.0988923684210374,2.4680073727330263,ok,,,500,19,20390624,2.3,-0.016550129422967963,True,0.514,0.13100374075585203,0.8623133576076628,False
ipw,2.239779186063801,0.20371448165722422,1.8405061388863964,2.6390522332412063,ok,,,500,19,20390624,2.3,-0.0602208139361986,True,0.514,0.13100374075585203,0.8623133576076628,False
aipw,2.2975653824853435,0.09631323545414497,2.108794909760693,2.486335855209994,ok,,,500,19,20390624,2.3,-0.0024346175146563453,True,0.514,0.13100374075585203,0.8623133576076628,False
naive_difference,3.268837872634034,0.12773821581881167,3.0184755701797585,3.5192001750883093,ok,,,500,20,20390625,2.3,0.9688378726340341,False,0.504,0.14269764509735045,0.8725600376535366,False
adjusted_ols,2.4798926559750294,0.09589535241052223,2.2919412189656296,2.667844092984429,ok,,,500,20,20390625,2.3,0.17989265597502957,True,0.504,0.14269764509735045,0.8725600376535366,False
ipw,2.525126117381944,0.17455919133036787,2.1829963892039865,2.8672558455599013,ok,,,500,20,20390625,2.3,0.2251261173819441,True,0.504,0.14269764509735045,0.8725600376535366,False
aipw,2.490917678466699,0.0966245359204716,2.3015370680396776,2.68029828889372,ok,,,500,20,20390625,2.3,0.19091767846669905,False,0.504,0.14269764509735045,0.8725600376535366,False
naive_difference,3.2068906309143905,0.14048601061390834,2.9315431097794185,3.4822381520493626,ok,,,500,21,20390626,2.3,0.9068906309143907,False,0.518,0.1194025666237395,0.885632051907263,False
adjusted_ols,2.261938915773274,0.10340676363724689,2.059265383286424,2.464612448260124,ok,,,500,21,20390626,2.3,-0.03806108422672594,True,0.518,0.1194025666237395,0.885632051907263,False
ipw,2.2708972701033003,0.18222147886080728,1.9137497343264913,2.6280448058801094,ok,,,500,21,20390626,2.3,-0.029102729896699486,True,0.518,0.1194025666237395,0.885632051907263,False
aipw,2.2911700575009544,0.0967523882969371,2.101538861020723,2.480801253981186,ok,,,500,21,20390626,2.3,-0.008829942499045451,True,0.518,0.1194025666237395,0.885632051907263,False
naive_difference,3.054912335056282,0.12863295496816174,2.8027963760937227,3.3070282940188416,ok,,,500,22,20390627,2.3,0.7549123350562823,False,0.498,0.13570259934684384,0.8613854946298878,False
adjusted_ols,2.3130700659671013,0.09117350265677962,2.1343732844154464,2.491766847518756,ok,,,500,22,20390627,2.3,0.013070065967101474,True,0.498,0.13570259934684384,0.8613854946298878,False
ipw,2.336456443482175,0.1715544372466529,2.0002159250906986,2.6726969618736516,ok,,,500,22,20390627,2.3,0.03645644348217525,True,0.498,0.13570259934684384,0.8613854946298878,False
aipw,2.3135459379820715,0.09240499363578197,2.132435478464286,2.494656397499857,ok,,,500,22,20390627,2.3,0.01354593798207171,True,0.498,0.13570259934684384,0.8613854946298878,False
naive_difference,3.0546927303882403,0.1372984890165279,2.7855926367840773,3.3237928239924033,ok,,,500,23,20390628,2.3,0.7546927303882405,False,0.544,0.11446386112900113,0.8730794060842282,False
adjusted_ols,2.162032549516936,0.10183562235726915,1.9624383973534665,2.3616267016804056,ok,,,500,23,20390628,2.3,-0.1379674504830639,True,0.544,0.11446386112900113,0.8730794060842282,False
ipw,2.2286535764674054,0.17590163972915968,1.8838926977767125,2.5734144551580984,ok,,,500,23,20390628,2.3,-0.07134642353259446,True,0.544,0.11446386112900113,0.8730794060842282,False
aipw,2.1997075521179146,0.09949373155945354,2.0047034215738897,2.3947116826619395,ok,,,500,23,20390628,2.3,-0.10029244788208524,True,0.544,0.11446386112900113,0.8730794060842282,False
naive_difference,3.353175984618677,0.12673007325519256,3.1047896052803767,3.6015623639569774,ok,,,500,24,20390629,2.3,1.0531759846186772,False,0.502,0.13163410647597049,0.8876172856314839,False
adjusted_ols,2.359938984820637,0.09718302486225477,2.169463756181957,2.5504142134593173,ok,,,500,24,20390629,2.3,0.05993898482063731,True,0.502,0.13163410647597049,0.8876172856314839,False
ipw,2.4225445958995837,0.18586282541635776,2.0582601520186667,2.7868290397805007,ok,,,500,24,20390629,2.3,0.12254459589958389,True,0.502,0.13163410647597049,0.8876172856314839,False
aipw,2.378991993003906,0.09727129528725911,2.1883437575113174,2.5696402284964943,ok,,,500,24,20390629,2.3,0.07899199300390602,True,0.502,0.13163410647597049,0.8876172856314839,False
naive_difference,2.9676268774255306,0.14284223291761466,2.687661245435724,3.247592509415337,ok,,,500,25,20390630,2.3,0.6676268774255307,False,0.502,0.175803598426369,0.8617057384731007,False
adjusted_ols,2.1306698270391466,0.10227101279534885,1.930222325297828,2.3311173287804654,ok,,,500,25,20390630,2.3,-0.16933017296085318,True,0.502,0.175803598426369,0.8617057384731007,False
ipw,2.1208638533025104,0.18096829811601403,1.7661725066516152,2.475555199953406,ok,,,500,25,20390630,2.3,-0.17913614669748945,True,0.502,0.175803598426369,0.8617057384731007,False
aipw,2.1389853941943984,0.10323817156468103,1.9366422960978564,2.3413284922909403,ok,,,500,25,20390630,2.3,-0.16101460580560145,True,0.502,0.175803598426369,0.8617057384731007,False
naive_difference,3.1082462758785483,0.13031458550794744,2.852834381622706,3.3636581701343906,ok,,,500,26,20390631,2.3,0.8082462758785485,False,0.51,0.14007015683296217,0.8616830095397505,False
adjusted_ols,2.290439596494892,0.09349416155500168,2.107194407082319,2.4736847859074644,ok,,,500,26,20390631,2.3,-0.009560403505108006,True,0.51,0.14007015683296217,0.8616830095397505,False
ipw,2.3462769553197544,0.17490395147006602,2.0034715096846836,2.6890824009548253,ok,,,500,26,20390631,2.3,0.04627695531975462,True,0.51,0.14007015683296217,0.8616830095397505,False
aipw,2.298447271531435,0.0918770124024709,2.118371636215452,2.478522906847418,ok,,,500,26,20390631,2.3,-0.0015527284685648013,True,0.51,0.14007015683296217,0.8616830095397505,False
naive_difference,3.31581987292225,0.13449311296060212,3.0522182153507926,3.579421530493707,ok,,,500,27,20390632,2.3,1.01581987292225,False,0.504,0.12604540755393503,0.8635288710465744,False
adjusted_ols,2.3937790978429385,0.09919806935960686,2.199354454562203,2.588203741123674,ok,,,500,27,20390632,2.3,0.0937790978429387,True,0.504,0.12604540755393503,0.8635288710465744,False
ipw,2.4364064193020707,0.18071466504858888,2.0822121843286174,2.790600654275524,ok,,,500,27,20390632,2.3,0.13640641930207087,True,0.504,0.12604540755393503,0.8635288710465744,False
aipw,2.419499056723759,0.10402829586061935,2.215607343463868,2.6233907699836503,ok,,,500,27,20390632,2.3,0.11949905672375927,True,0.504,0.12604540755393503,0.8635288710465744,False
naive_difference,3.1759274264049253,0.13723658479315456,2.9069486628490653,3.4449061899607853,ok,,,500,28,20390633,2.3,0.8759274264049255,False,0.498,0.14373858860741678,0.8696731825841285,False
adjusted_ols,2.369075371995046,0.1004104623622234,2.1722744820940734,2.5658762618960185,ok,,,500,28,20390633,2.3,0.0690753719950461,True,0.498,0.14373858860741678,0.8696731825841285,False
ipw,2.4177226983811186,0.18048342578939341,2.0639816840275,2.7714637127347372,ok,,,500,28,20390633,2.3,0.11772269838111882,True,0.498,0.14373858860741678,0.8696731825841285,False
aipw,2.3838280922960555,0.10176527520009566,2.184371818027061,2.5832843665650502,ok,,,500,28,20390633,2.3,0.0838280922960557,True,0.498,0.14373858860741678,0.8696731825841285,False
naive_difference,3.3007514009544896,0.1339118586601574,3.038288980877763,3.563213821031216,ok,,,500,29,20390634,2.3,1.0007514009544898,False,0.512,0.1077590799590391,0.87641252268884,False
adjusted_ols,2.4188163325421677,0.09908821564730153,2.2246069985811183,2.613025666503217,ok,,,500,29,20390634,2.3,0.11881633254216784,True,0.512,0.1077590799590391,0.87641252268884,False
ipw,2.4121585826780403,0.19938950746166414,2.021362329157998,2.8029548361980825,ok,,,500,29,20390634,2.3,0.11215858267804046,True,0.512,0.1077590799590391,0.87641252268884,False
aipw,2.3668703882522584,0.11338833276495797,2.144633339765898,2.589107436738619,ok,,,500,29,20390634,2.3,0.06687038825225855,True,0.512,0.1077590799590391,0.87641252268884,False
naive_difference,3.2279254436581897,0.13562769725983126,2.9621000417228185,3.493750845593561,ok,,,500,30,20390635,2.3,0.9279254436581899,False,0.506,0.1547281215420691,0.8774418628329732,False
adjusted_ols,2.3925062037706217,0.09738823699577429,2.201628766741053,2.5833836408001907,ok,,,500,30,20390635,2.3,0.09250620377062191,True,0.506,0.1547281215420691,0.8774418628329732,False
ipw,2.3368465260867732,0.20181451770037798,1.9412973398367113,2.732395712336835,ok,,,500,30,20390635,2.3,0.03684652608677341,True,0.506,0.1547281215420691,0.8774418628329732,False
aipw,2.3526707431400777,0.0970046330723744,2.162545155984701,2.5427963302954546,ok,,,500,30,20390635,2.3,0.052670743140077914,True,0.506,0.1547281215420691,0.8774418628329732,False
naive_difference,3.311219031493919,0.13811120421592132,3.0405260453692566,3.5819120176185812,ok,,,500,31,20390636,2.3,1.0112190314939191,False,0.49,0.12454873197753386,0.8906741165591244,False
adjusted_ols,2.3379703916837427,0.10157148614171078,2.1388939369897804,2.537046846377705,ok,,,500,31,20390636,2.3,0.03797039168374283,True,0.49,0.12454873197753386,0.8906741165591244,False
