estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,1.874875996643187,0.13152118292496331,1.6170992149061545,2.132652778380219,ok,,,500,0,20360605,2.0,-0.12512400335681306,True,0.502,0.5,0.5,False
adjusted_ols,1.9356807408367844,0.08753579327874347,1.7641137386523038,2.107247743021265,ok,,,500,0,20360605,2.0,-0.06431925916321557,True,0.502,0.5,0.5,False
ipw,1.9359660934733953,0.176526986483074,1.5899795576671814,2.2819526292796093,ok,,,500,0,20360605,2.0,-0.06403390652660468,True,0.502,0.5,0.5,False
aipw,1.9354322497342864,0.08728413400653605,1.764358490659708,2.1065060088088647,ok,,,500,0,20360605,2.0,-0.0645677502657136,True,0.502,0.5,0.5,False
naive_difference,2.00281605437472,0.13969423206724918,1.7290203906749313,2.2766117180745087,ok,,,500,1,20360606,2.0,0.0028160543747199895,True,0.474,0.5,0.5,False
adjusted_ols,2.0422681841725154,0.08752554474083632,1.870721268753227,2.2138150995918036,ok,,,500,1,20360606,2.0,0.04226818417251543,True,0.474,0.5,0.5,False
ipw,2.0420074209776136,0.1776517886557503,1.6938163134232216,2.3901985285320055,ok,,,500,1,20360606,2.0,0.04200742097761356,True,0.474,0.5,0.5,False
aipw,2.0424847386346867,0.08733635198325485,1.8713086342063938,2.2136608430629794,ok,,,500,1,20360606,2.0,0.042484738634686714,True,0.474,0.5,0.5,False
naive_difference,1.8250939228230623,0.13021292624305078,1.5698812770651123,2.0803065685810123,ok,,,500,2,20360607,2.0,-0.17490607717693774,True,0.514,0.5,0.5,False
adjusted_ols,1.9169625321244435,0.08882306902787142,1.7428725158335003,2.0910525484153863,ok,,,500,2,20360607,2.0,-0.08303746787555655,True,0.514,0.5,0.5,False
ipw,1.9170201385412924,0.1688275236611223,1.5861242725664089,2.247916004516176,ok,,,500,2,20360607,2.0,-0.08297986145870762,True,0.514,0.5,0.5,False
aipw,1.9168510954172786,0.08875361123040817,1.742897213907809,2.0908049769267483,ok,,,500,2,20360607,2.0,-0.0831489045827214,True,0.514,0.5,0.5,False
naive_difference,1.9531204905533999,0.12825918684666576,1.7017371036475415,2.204503877459258,ok,,,500,3,20360608,2.0,-0.04687950944660013,True,0.51,0.5,0.5,False
adjusted_ols,1.9546938620352723,0.08364521219221395,1.7907522586593223,2.1186354654112223,ok,,,500,3,20360608,2.0,-0.04530613796472771,True,0.51,0.5,0.5,False
ipw,1.9550656680414809,0.16246266875928767,1.6366446884410164,2.273486647641945,ok,,,500,3,20360608,2.0,-0.04493433195851915,True,0.51,0.5,0.5,False
aipw,1.954560432290098,0.08303829581613452,1.7918083631528914,2.1173125014273046,ok,,,500,3,20360608,2.0,-0.045439567709901985,True,0.51,0.5,0.5,False
naive_difference,1.9392846572659916,0.13566071235452848,1.6733945469340679,2.2051747675979154,ok,,,500,4,20360609,2.0,-0.06071534273400836,True,0.488,0.5,0.5,False
adjusted_ols,2.0366470820473643,0.08661728566801713,1.8668803216994334,2.2064138423952953,ok,,,500,4,20360609,2.0,0.03664708204736433,True,0.488,0.5,0.5,False
ipw,2.0363904586589947,0.17204805142653293,1.699182474252695,2.373598443065294,ok,,,500,4,20360609,2.0,0.03639045865899471,True,0.488,0.5,0.5,False
aipw,2.0378723866942243,0.08628943612643186,1.8687481996401485,2.2069965737483,ok,,,500,4,20360609,2.0,0.037872386694224325,True,0.488,0.5,0.5,False
naive_difference,2.3291624386736234,0.13203214337210456,2.0703841928626696,2.587940684484577,ok,,,500,5,20360610,2.0,0.3291624386736234,False,0.53,0.5,0.5,False
adjusted_ols,2.182311241822606,0.08779952776447376,2.010227329544613,2.3543951541005987,ok,,,500,5,20360610,2.0,0.18231124182260583,False,0.53,0.5,0.5,False
ipw,2.187709880691953,0.16403244978443388,1.8662121868185877,2.5092075745653184,ok,,,500,5,20360610,2.0,0.18770988069195305,True,0.53,0.5,0.5,False
aipw,2.184143538167922,0.08855935785496319,2.0105703862781996,2.3577166900576443,ok,,,500,5,20360610,2.0,0.18414353816792195,False,0.53,0.5,0.5,False
naive_difference,2.0614474047482068,0.13422081377273082,1.7983794437779967,2.3245153657184168,ok,,,500,6,20360611,2.0,0.06144740474820676,True,0.484,0.5,0.5,False
adjusted_ols,2.040892647382438,0.0882389349218775,1.8679475129013843,2.213837781863491,ok,,,500,6,20360611,2.0,0.04089264738243781,True,0.484,0.5,0.5,False
ipw,2.041107353479337,0.16879815561556014,1.7102690478160518,2.3719456591426225,ok,,,500,6,20360611,2.0,0.04110735347933714,True,0.484,0.5,0.5,False
aipw,2.0413596419775497,0.08760455527457825,1.8696578687577279,2.2130614151973713,ok,,,500,6,20360611,2.0,0.04135964197754971,True,0.484,0.5,0.5,False
naive_difference,1.9699385382829475,0.14231023943075294,1.6910155943674,2.248861482198495,ok,,,500,7,20360612,2.0,-0.030061461717052484,True,0.548,0.5,0.5,False
adjusted_ols,2.1174614957694295,0.08943815142404425,1.942165940134463,2.2927570514043962,ok,,,500,7,20360612,2.0,0.11746149576942955,True,0.548,0.5,0.5,False
ipw,2.1166722668099074,0.17979278525163728,1.764284883036554,2.4690596505832607,ok,,,500,7,20360612,2.0,0.11667226680990739,True,0.548,0.5,0.5,False
aipw,2.118025716623414,0.08913294745230652,1.9433283497809923,2.292723083465836,ok,,,500,7,20360612,2.0,0.11802571662341421,True,0.548,0.5,0.5,False
naive_difference,1.8011033971871253,0.13808697795753266,1.530457893656385,2.0717489007178655,ok,,,500,8,20360613,2.0,-0.1988966028128747,True,0.47,0.5,0.5,False
adjusted_ols,1.932678690605068,0.09199052021658113,1.7523805840614652,2.112976797148671,ok,,,500,8,20360613,2.0,-0.06732130939493208,True,0.47,0.5,0.5,False
ipw,1.9355082819528273,0.18198004381061592,1.578833950178999,2.2921826137266557,ok,,,500,8,20360613,2.0,-0.06449171804717269,True,0.47,0.5,0.5,False
aipw,1.9330327005025247,0.09229182793483447,1.7521440416828815,2.113921359322168,ok,,,500,8,20360613,2.0,-0.06696729949747526,True,0.47,0.5,0.5,False
naive_difference,1.8924395844302997,0.13236112439863687,1.6330165476557457,2.1518626212048537,ok,,,500,9,20360614,2.0,-0.10756041556970031,True,0.496,0.5,0.5,False
adjusted_ols,1.9382949898572543,0.0870110851659482,1.7677563966762486,2.10883358303826,ok,,,500,9,20360614,2.0,-0.06170501014274565,True,0.496,0.5,0.5,False
ipw,1.937870195485723,0.16624199131297765,1.612041879794066,2.2636985111773797,ok,,,500,9,20360614,2.0,-0.062129804514277076,True,0.496,0.5,0.5,False
aipw,1.9380464391921708,0.0867788104826892,1.7679630960248731,2.1081297823594687,ok,,,500,9,20360614,2.0,-0.06195356080782921,True,0.496,0.5,0.5,False
naive_difference,1.6569985583167701,0.1431778095082174,1.3763752082953276,1.9376219083382127,ok,,,500,10,20360615,2.0,-0.3430014416832299,False,0.458,0.5,0.5,False
