estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,2.2221788352019245,0.09604486065270948,2.0339343674224457,2.4104233029814033,ok,,,1000,0,20430605,2.3,-0.07782116479807533,True,0.493,0.5,0.5,False
adjusted_ols,2.325850781608885,0.06566819293471514,2.197143488527016,2.4545580746907545,ok,,,1000,0,20430605,2.3,0.02585078160888532,True,0.493,0.5,0.5,False
ipw,2.325001610517628,0.12986608751729678,2.0704687561705994,2.5795344648646563,ok,,,1000,0,20430605,2.3,0.02500161051762806,True,0.493,0.5,0.5,False
aipw,2.3248861353845167,0.06560637877656111,2.196299995826364,2.4534722749426696,ok,,,1000,0,20430605,2.3,0.024886135384516894,True,0.493,0.5,0.5,False
naive_difference,2.257804283832942,0.09983858311178935,2.0621242566663263,2.453484310999558,ok,,,1000,1,20430606,2.3,-0.04219571616705764,True,0.505,0.5,0.5,False
adjusted_ols,2.2488959394620194,0.06605693372614113,2.1194267284296338,2.378365150494405,ok,,,1000,1,20430606,2.3,-0.051104060537980445,True,0.505,0.5,0.5,False
ipw,2.248618319963076,0.1330413001437532,1.9878621632249363,2.5093744767012156,ok,,,1000,1,20430606,2.3,-0.05138168003692378,True,0.505,0.5,0.5,False
aipw,2.2490398221809054,0.06597100803771277,2.119739022403186,2.3783406219586247,ok,,,1000,1,20430606,2.3,-0.050960177819094454,True,0.505,0.5,0.5,False
naive_difference,2.2726638136323647,0.10099033934527327,2.074726385729151,2.4706012415355785,ok,,,1000,2,20430607,2.3,-0.02733618636763513,True,0.502,0.5,0.5,False
adjusted_ols,2.3429105183831345,0.06445140522864283,2.216588085381998,2.469232951384271,ok,,,1000,2,20430607,2.3,0.042910518383134644,True,0.502,0.5,0.5,False
ipw,2.3438785573632983,0.13629319486292613,2.0767488040940636,2.611008310632533,ok,,,1000,2,20430607,2.3,0.04387855736329849,True,0.502,0.5,0.5,False
aipw,2.3430429175860388,0.06433234803075075,2.216953832404871,2.4691320027672066,ok,,,1000,2,20430607,2.3,0.04304291758603895,True,0.502,0.5,0.5,False
naive_difference,2.34231755782489,0.10072245877765536,2.144905166186365,2.5397299494634145,ok,,,1000,3,20430608,2.3,0.042317557824889995,True,0.514,0.5,0.5,False
adjusted_ols,2.2855170807445075,0.06417705601914699,2.15973236231317,2.411301799175845,ok,,,1000,3,20430608,2.3,-0.014482919255492277,True,0.514,0.5,0.5,False
ipw,2.285701544940526,0.1293355432694427,2.0322085382114965,2.5391945516695555,ok,,,1000,3,20430608,2.3,-0.014298455059473802,True,0.514,0.5,0.5,False
aipw,2.2857781410172286,0.06434428193926253,2.159665665805183,2.4118906162292744,ok,,,1000,3,20430608,2.3,-0.014221858982771174,True,0.514,0.5,0.5,False
naive_difference,2.295750781988242,0.09874919719734854,2.1022059119791954,2.489295651997289,ok,,,1000,4,20430609,2.3,-0.004249218011757705,True,0.533,0.5,0.5,False
