scenario,scenario_title,sample_size,confounding_strength,heterogeneity_coefficient,truth,treatment_prevalence,propensity_overlap_width,positivity_warning,best_estimator,best_rmse,report_href
randomized_constant_effect_n500,"Randomized, Constant Effect, N=500",500,0.0,0.0,2.0,0.502525,0.0,False,adjusted_ols,0.0934267424974959,randomized_constant_effect_n500/report.html
randomized_heterogeneous_effect_n500,"Randomized, Heterogeneous Effect, N=500",500,0.0,0.75,2.3,0.495675,0.0,False,aipw,0.0790618694781856,randomized_heterogeneous_effect_n500/report.html
moderate_confounding_constant_effect_n500,"Moderate Confounding, Constant Effect, N=500",500,0.8,0.0,2.0,0.507075,0.4492521072537162,False,adjusted_ols,0.09388084902427718,moderate_confounding_constant_effect_n500/report.html
moderate_confounding_heterogeneous_effect_n500,"Moderate Confounding, Heterogeneous Effect, N=500",500,0.8,0.75,2.3,0.507525,0.4469777867780943,False,adjusted_ols,0.09944251371424069,moderate_confounding_heterogeneous_effect_n500/report.html
strong_confounding_constant_effect_n500,"Strong Confounding, Constant Effect, N=500",500,1.5,0.0,2.0,0.5402750000000001,0.555947730833225,True,adjusted_ols,0.09755591971794898,strong_confounding_constant_effect_n500/report.html
strong_confounding_heterogeneous_effect_n500,"Strong Confounding, Heterogeneous Effect, N=500",500,1.5,0.75,2.3,0.54095,0.5495573283146491,True,adjusted_ols,0.10223236804852567,strong_confounding_heterogeneous_effect_n500/report.html
randomized_constant_effect_n1000,"Randomized, Constant Effect, N=1000",1000,0.0,0.0,2.0,0.4984125,0.0,False,aipw,0.062344490207181504,randomized_constant_effect_n1000/report.html
randomized_heterogeneous_effect_n1000,"Randomized, Heterogeneous Effect, N=1000",1000,0.0,0.75,2.3,0.4998,0.0,False,ipw,0.06577571624524382,randomized_heterogeneous_effect_n1000/report.html
moderate_confounding_constant_effect_n1000,"Moderate Confounding, Constant Effect, N=1000",1000,0.8,0.0,2.0,0.5079,0.45798102464933776,False,adjusted_ols,0.06731150356532271,moderate_confounding_constant_effect_n1000/report.html
moderate_confounding_heterogeneous_effect_n1000,"Moderate Confounding, Heterogeneous Effect, N=1000",1000,0.8,0.75,2.3,0.510875,0.4538909344700686,False,adjusted_ols,0.06825839046192939,moderate_confounding_heterogeneous_effect_n1000/report.html
strong_confounding_constant_effect_n1000,"Strong Confounding, Constant Effect, N=1000",1000,1.5,0.0,2.0,0.541,0.5561554376258439,True,adjusted_ols,0.07265731021544346,strong_confounding_constant_effect_n1000/report.html
strong_confounding_heterogeneous_effect_n1000,"Strong Confounding, Heterogeneous Effect, N=1000",1000,1.5,0.75,2.3,0.5409625,0.558484543710837,True,adjusted_ols,0.07804084214576777,strong_confounding_heterogeneous_effect_n1000/report.html
