estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,3.156534753509873,0.12736930863076698,2.906895495857803,3.406174011161943,ok,,,500,0,20400605,2.0,1.156534753509873,False,0.51,0.030339091761974097,0.9885824982753303,True
adjusted_ols,2.04491474613104,0.10704740528085561,1.8351056871421,2.25472380511998,ok,,,500,0,20400605,2.0,0.04491474613103996,True,0.51,0.030339091761974097,0.9885824982753303,True
ipw,2.030183140185134,0.20688864547893737,1.624688846236141,2.4356774341341265,ok,,,500,0,20400605,2.0,0.030183140185133794,True,0.51,0.030339091761974097,0.9885824982753303,True
aipw,2.029946935155805,0.13009447841268487,1.7749664428794192,2.2849274274321907,ok,,,500,0,20400605,2.0,0.029946935155805043,True,0.51,0.030339091761974097,0.9885824982753303,True
naive_difference,3.2302461848578723,0.12558362919020966,2.984106794597228,3.4763855751185164,ok,,,500,1,20400606,2.0,1.2302461848578723,False,0.516,0.03822678882098684,0.9865393000410964,True
adjusted_ols,2.1527845388847693,0.10236248921885122,1.9521577466479514,2.3534113311215874,ok,,,500,1,20400606,2.0,0.15278453888476928,True,0.516,0.03822678882098684,0.9865393000410964,True
ipw,2.2858415842204223,0.14630384827265377,1.9990913108064083,2.5725918576344364,ok,,,500,1,20400606,2.0,0.2858415842204223,True,0.516,0.03822678882098684,0.9865393000410964,True
aipw,2.1345787082729553,0.10298050652061572,1.9327406243828562,2.336416792163054,ok,,,500,1,20400606,2.0,0.13457870827295526,True,0.516,0.03822678882098684,0.9865393000410964,True
naive_difference,3.05849774648465,0.12285315973444834,2.817709978018185,3.2992855149511153,ok,,,500,2,20400607,2.0,1.0584977464846501,False,0.542,0.039550735511583376,0.9816854593390865,True
adjusted_ols,2.1101649544786656,0.1070863288099355,1.900279606774578,2.320050302182753,ok,,,500,2,20400607,2.0,0.11016495447866559,True,0.542,0.039550735511583376,0.9816854593390865,True
ipw,2.192167263085121,0.17660595866253045,1.846025944651392,2.5383085815188506,ok,,,500,2,20400607,2.0,0.19216726308512122,True,0.542,0.039550735511583376,0.9816854593390865,True
aipw,2.0871543055027186,0.10565630644892221,1.880071750123304,2.2942368608821333,ok,,,500,2,20400607,2.0,0.08715430550271863,True,0.542,0.039550735511583376,0.9816854593390865,True
naive_difference,3.0955033472405677,0.12879052894514334,2.8430785489582235,3.347928145522912,ok,,,500,3,20400608,2.0,1.0955033472405677,False,0.556,0.025671236539237436,0.9756443333541959,True
adjusted_ols,2.025986192023619,0.10562230940344781,1.818970269628915,2.2330021144183227,ok,,,500,3,20400608,2.0,0.025986192023618848,True,0.556,0.025671236539237436,0.9756443333541959,True
ipw,2.0204209253250935,0.19330092387391754,1.6415580763538964,2.3992837742962907,ok,,,500,3,20400608,2.0,0.020420925325093542,True,0.556,0.025671236539237436,0.9756443333541959,True
aipw,1.985464843534514,0.1113387571087841,1.767244889517844,2.2036847975511837,ok,,,500,3,20400608,2.0,-0.014535156465486088,True,0.556,0.025671236539237436,0.9756443333541959,True
naive_difference,3.0992723545500347,0.13103898436658473,2.8424406646208213,3.356104044479248,ok,,,500,4,20400609,2.0,1.0992723545500347,False,0.568,0.031721180058911204,0.9723834365929351,True
adjusted_ols,2.0429827041928657,0.11126524847597558,1.8249068244490534,2.261058583936678,ok,,,500,4,20400609,2.0,0.04298270419286565,True,0.568,0.031721180058911204,0.9723834365929351,True
ipw,2.1880854529131226,0.1778045798109591,1.8395948801973652,2.53657602562888,ok,,,500,4,20400609,2.0,0.18808545291312262,True,0.568,0.031721180058911204,0.9723834365929351,True
aipw,2.0401759614701716,0.11827827103071142,1.80835481009631,2.271997112844033,ok,,,500,4,20400609,2.0,0.04017596147017155,True,0.568,0.031721180058911204,0.9723834365929351,True
naive_difference,3.137606787234054,0.1262910186123267,2.890080939183016,3.3851326352850917,ok,,,500,5,20400610,2.0,1.1376067872340538,False,0.494,0.0321508343767508,0.97671072562459,True
adjusted_ols,2.0047823850849835,0.1052001400576253,1.7985938994034685,2.2109708707664986,ok,,,500,5,20400610,2.0,0.00478238508498352,True,0.494,0.0321508343767508,0.97671072562459,True
ipw,2.160538565091224,0.2538149486031474,1.66307040709117,2.658006723091278,ok,,,500,5,20400610,2.0,0.16053856509122388,True,0.494,0.0321508343767508,0.97671072562459,True
aipw,2.1316958869627824,0.13480183628930723,1.8674891427858757,2.395902631139689,ok,,,500,5,20400610,2.0,0.13169588696278245,True,0.494,0.0321508343767508,0.97671072562459,True
naive_difference,3.0978421644281275,0.125455420265804,2.851954059041815,3.34373026981444,ok,,,500,6,20400611,2.0,1.0978421644281275,False,0.534,0.03275164663166109,0.9816251800982463,True
adjusted_ols,2.0389287573015906,0.10444166221682069,1.8342268608711243,2.243630653732057,ok,,,500,6,20400611,2.0,0.03892875730159062,True,0.534,0.03275164663166109,0.9816251800982463,True
ipw,2.111496667804242,0.2024867260264151,1.714629977445039,2.508363358163445,ok,,,500,6,20400611,2.0,0.11149666780424194,True,0.534,0.03275164663166109,0.9816251800982463,True
aipw,1.9721257030046213,0.11500885855998612,1.7467124823239875,2.197538923685255,ok,,,500,6,20400611,2.0,-0.02787429699537869,True,0.534,0.03275164663166109,0.9816251800982463,True
naive_difference,3.1696708458936746,0.13551821933851857,2.904060016741179,3.4352816750461703,ok,,,500,7,20400612,2.0,1.1696708458936746,False,0.564,0.02174874667284485,0.9858535220939344,True
adjusted_ols,2.0397641066827186,0.11386274442521095,1.8165972284284162,2.2629309849370207,ok,,,500,7,20400612,2.0,0.03976410668271857,True,0.564,0.02174874667284485,0.9858535220939344,True
ipw,1.6381404982265735,0.5456312844091252,0.5687228319463569,2.70755816450679,ok,,,500,7,20400612,2.0,-0.3618595017734265,True,0.564,0.02174874667284485,0.9858535220939344,True
aipw,1.90285733442517,0.23462766856621095,1.442995554258796,2.362719114591544,ok,,,500,7,20400612,2.0,-0.09714266557482998,True,0.564,0.02174874667284485,0.9858535220939344,True
naive_difference,3.031439784182552,0.12391287166383426,2.788575018500503,3.274304549864601,ok,,,500,8,20400613,2.0,1.031439784182552,False,0.514,0.031737657325119614,0.9709884249328382,True
