estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,3.2921017003019757,0.09075923138040605,3.1142168755318425,3.469986525072109,ok,,,1000,0,20470605,2.3,0.9921017003019759,False,0.547,0.03189591737484435,0.9835455915097303,True
adjusted_ols,2.2047576679644054,0.07339471559638473,2.060906668739931,2.3486086671888797,ok,,,1000,0,20470605,2.3,-0.0952423320355944,True,0.547,0.03189591737484435,0.9835455915097303,True
ipw,2.2968332636412225,0.12385686276404205,2.05407827338558,2.539588253896865,ok,,,1000,0,20470605,2.3,-0.003166736358777289,True,0.547,0.03189591737484435,0.9835455915097303,True
aipw,2.2877598856233354,0.07549506713764918,2.13979227302311,2.435727498223561,ok,,,1000,0,20470605,2.3,-0.01224011437666439,True,0.547,0.03189591737484435,0.9835455915097303,True
naive_difference,3.5945553859405073,0.09051613771467674,3.417147016000073,3.7719637558809413,ok,,,1000,1,20470606,2.3,1.2945553859405075,False,0.552,0.03534594192166939,0.983643806649216,True
adjusted_ols,2.4032073970237486,0.07867340776565353,2.249010351262034,2.5574044427854634,ok,,,1000,1,20470606,2.3,0.10320739702374881,True,0.552,0.03534594192166939,0.983643806649216,True
ipw,2.560711914963429,0.14907292356373997,2.2685343537084064,2.8528894762184516,ok,,,1000,1,20470606,2.3,0.26071191496342916,True,0.552,0.03534594192166939,0.983643806649216,True
aipw,2.405686353051845,0.08061733811216601,2.247679273822511,2.5636934322811786,ok,,,1000,1,20470606,2.3,0.10568635305184504,True,0.552,0.03534594192166939,0.983643806649216,True
naive_difference,3.6534416433739247,0.0949202515768604,3.467401368879797,3.8394819178680524,ok,,,1000,2,20470607,2.3,1.353441643373925,False,0.55,0.026783025585935694,0.9772676497126326,True
adjusted_ols,2.3194175627589146,0.07486785926890344,2.1726792549922505,2.466155870525579,ok,,,1000,2,20470607,2.3,0.01941756275891482,True,0.55,0.026783025585935694,0.9772676497126326,True
ipw,2.491447883117378,0.15252496899561585,2.1925044371428823,2.7903913290918734,ok,,,1000,2,20470607,2.3,0.19144788311737804,True,0.55,0.026783025585935694,0.9772676497126326,True
aipw,2.40576969973773,0.07443552198188952,2.2598787574827868,2.551660641992673,ok,,,1000,2,20470607,2.3,0.10576969973772998,True,0.55,0.026783025585935694,0.9772676497126326,True
naive_difference,3.4324789288899034,0.09447145321801093,3.2473182830154412,3.6176395747643655,ok,,,1000,3,20470608,2.3,1.1324789288899035,False,0.558,0.03241714523782749,0.9802385382225871,True
adjusted_ols,2.1964339731832525,0.07855341632324649,2.0424721063271085,2.3503958400393965,ok,,,1000,3,20470608,2.3,-0.10356602681674731,True,0.558,0.03241714523782749,0.9802385382225871,True
ipw,2.340721531748529,0.13763493155711254,2.070962022881953,2.610481040615105,ok,,,1000,3,20470608,2.3,0.040721531748529216,True,0.558,0.03241714523782749,0.9802385382225871,True
aipw,2.233163640065727,0.0768943190556219,2.082453544100976,2.383873736030478,ok,,,1000,3,20470608,2.3,-0.06683635993427295,True,0.558,0.03241714523782749,0.9802385382225871,True
naive_difference,3.4587287550567196,0.09359713863251856,3.2752817342809806,3.6421757758324587,ok,,,1000,4,20470609,2.3,1.1587287550567198,False,0.554,0.024832095247932104,0.9825648070706481,True
adjusted_ols,2.181692451641145,0.07651729546702056,2.0317213083313748,2.331663594950915,ok,,,1000,4,20470609,2.3,-0.11830754835885493,True,0.554,0.024832095247932104,0.9825648070706481,True
ipw,2.2492449236633765,0.1645547324506699,1.9267235745744389,2.571766272752314,ok,,,1000,4,20470609,2.3,-0.05075507633662335,True,0.554,0.024832095247932104,0.9825648070706481,True
aipw,2.129822781089898,0.08802377681777225,1.9572993487438726,2.302346213435923,ok,,,1000,4,20470609,2.3,-0.17017721891010185,True,0.554,0.024832095247932104,0.9825648070706481,True
naive_difference,3.5060016870726236,0.09213432697516863,3.325421724461456,3.686581649683791,ok,,,1000,5,20470610,2.3,1.2060016870726238,False,0.526,0.022998699049564298,0.9777943612051978,True
adjusted_ols,2.3322769376394357,0.07900101703115028,2.1774377895163455,2.487116085762526,ok,,,1000,5,20470610,2.3,0.03227693763943584,True,0.526,0.022998699049564298,0.9777943612051978,True
ipw,2.3328861867827855,0.1609425963761338,2.0174444943071967,2.648327879258374,ok,,,1000,5,20470610,2.3,0.032886186782785654,True,0.526,0.022998699049564298,0.9777943612051978,True
aipw,2.3344760529177475,0.0838029125272853,2.170225362564708,2.498726743270787,ok,,,1000,5,20470610,2.3,0.03447605291774769,True,0.526,0.022998699049564298,0.9777943612051978,True
naive_difference,3.621897980213743,0.09437223879900623,3.4369317910272774,3.806864169400209,ok,,,1000,6,20470611,2.3,1.3218979802137434,False,0.545,0.04157493110706703,0.9818893713859244,True
adjusted_ols,2.305899431354405,0.08051854318619131,2.1480859866218367,2.463712876086973,ok,,,1000,6,20470611,2.3,0.00589943135440496,True,0.545,0.04157493110706703,0.9818893713859244,True
ipw,2.2754280642514195,0.1609357716454012,1.9599997480022706,2.5908563805005684,ok,,,1000,6,20470611,2.3,-0.024571935748580298,True,0.545,0.04157493110706703,0.9818893713859244,True
aipw,2.3090452275232263,0.08309999847696485,2.146172223393042,2.4719182316534107,ok,,,1000,6,20470611,2.3,0.009045227523226451,True,0.545,0.04157493110706703,0.9818893713859244,True
naive_difference,3.360864692226997,0.09106181746248664,3.1823868096337624,3.5393425748202314,ok,,,1000,7,20470612,2.3,1.060864692226997,False,0.54,0.0324901663221123,0.980477489771921,True
adjusted_ols,2.213751600025736,0.07843298345687764,2.06002577725023,2.367477422801242,ok,,,1000,7,20470612,2.3,-0.08624839997426381,True,0.54,0.0324901663221123,0.980477489771921,True
ipw,2.0686742882339675,0.19303611295783338,1.6903304591210084,2.4470181173469268,ok,,,1000,7,20470612,2.3,-0.23132571176603234,True,0.54,0.0324901663221123,0.980477489771921,True
aipw,2.2059574243076794,0.07640557996873566,2.0562052393510624,2.3557096092642964,ok,,,1000,7,20470612,2.3,-0.09404257569232044,True,0.54,0.0324901663221123,0.980477489771921,True
