estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_risk_difference,0.2347826086956522,0.030486994750255913,0.17502919698828892,0.2945360204030155,ok,,,1000,0,20380605,0.14759830312472688,0.08718430557092532,False,0.54,0.12375110623534699,0.8715309284821758,False
logistic_gcomp_risk_difference,0.15824145614977733,0.0006539441516159174,0.15695974916470953,0.15952316313484513,ok,,,1000,0,20380605,0.14759830312472688,0.01064315302505045,False,0.54,0.12375110623534699,0.8715309284821758,False
ipw_risk_difference,0.16868680998792768,0.042383900943503236,0.08561589061434811,0.25175772936150725,ok,,,1000,0,20380605,0.14759830312472688,0.021088506863200795,True,0.54,0.12375110623534699,0.8715309284821758,False
aipw_risk_difference,0.16930723470573592,0.0319451293676365,0.10669593166369558,0.23191853774777627,ok,,,1000,0,20380605,0.14759830312472688,0.021708931581009033,True,0.54,0.12375110623534699,0.8715309284821758,False
adjusted_oracle_includes_U,0.15821288911837308,0.0017118817719986832,0.15485766249946506,0.1615681157372811,ok,,,1000,0,20380605,0.14759830312472688,0.010614585993646203,False,0.54,0.12375110623534699,0.8715309284821758,False
naive_risk_difference,0.24420466188524592,0.03054917109724034,0.1843293867771029,0.304079936993389,ok,,,1000,1,20380606,0.14759830312472688,0.09660635876051904,False,0.512,0.13148654343939697,0.8843376562688119,False
logistic_gcomp_risk_difference,0.13800886944269164,0.00048452387884810757,0.1370592200904997,0.13895851879488358,ok,,,1000,1,20380606,0.14759830312472688,-0.009589433682035242,False,0.512,0.13148654343939697,0.8843376562688119,False
ipw_risk_difference,0.14362633222053584,0.04747823501186264,0.05057070154775643,0.23668196289331522,ok,,,1000,1,20380606,0.14759830312472688,-0.003971970904191047,True,0.512,0.13148654343939697,0.8843376562688119,False
aipw_risk_difference,0.1291610270504667,0.03334812876321525,0.06379989572276054,0.19452215837817285,ok,,,1000,1,20380606,0.14759830312472688,-0.018437276074260184,True,0.512,0.13148654343939697,0.8843376562688119,False
adjusted_oracle_includes_U,0.14668783088392984,0.0014303690963765362,0.14388435897043272,0.14949130279742695,ok,,,1000,1,20380606,0.14759830312472688,-0.0009104722407970445,True,0.512,0.13148654343939697,0.8843376562688119,False
