estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_risk_difference,0.23598479842698156,0.03022219966021641,0.17675037555937873,0.2952192212945844,ok,,,1000,0,20390605,0.13061862723709755,0.105366171189884,False,0.517,0.1457394950069239,0.8996119899272474,False
logistic_gcomp_risk_difference,0.15278184718960228,0.0006097695529001154,0.15158672082704897,0.1539769735521556,ok,,,1000,0,20390605,0.13061862723709755,0.022163219952504726,False,0.517,0.1457394950069239,0.8996119899272474,False
ipw_risk_difference,0.1529266926878484,0.04481396810592979,0.06509292919589935,0.24076045617979744,ok,,,1000,0,20390605,0.13061862723709755,0.02230806545075084,True,0.517,0.1457394950069239,0.8996119899272474,False
aipw_risk_difference,0.15382938636835813,0.03285641542787726,0.08943199546863251,0.21822677726808376,ok,,,1000,0,20390605,0.13061862723709755,0.023210759131260583,True,0.517,0.1457394950069239,0.8996119899272474,False
adjusted_oracle_includes_U,0.14777305517431086,0.0016902177476987876,0.14446028926279084,0.15108582108583088,ok,,,1000,0,20390605,0.13061862723709755,0.017154427937213307,False,0.517,0.1457394950069239,0.8996119899272474,False
naive_risk_difference,0.2509449676468704,0.03049409684020441,0.1911776360989931,0.31071229919474774,ok,,,1000,1,20390606,0.13061862723709755,0.12032634040977286,False,0.516,0.1304026778414162,0.893458440354534,False
logistic_gcomp_risk_difference,0.1702692410336633,0.000437213968638938,0.16941231740159315,0.17112616466573347,ok,,,1000,1,20390606,0.13061862723709755,0.03965061379656576,False,0.516,0.1304026778414162,0.893458440354534,False
ipw_risk_difference,0.18563704446872417,0.05273920368249875,0.08227010467770443,0.28900398425974394,ok,,,1000,1,20390606,0.13061862723709755,0.05501841723162662,True,0.516,0.1304026778414162,0.893458440354534,False
aipw_risk_difference,0.17425797444424837,0.03694584619143883,0.10184544653067194,0.24667050235782478,ok,,,1000,1,20390606,0.13061862723709755,0.04363934720715082,True,0.516,0.1304026778414162,0.893458440354534,False
adjusted_oracle_includes_U,0.16229129233583672,0.002158996682117438,0.15805973659614508,0.16652284807552836,ok,,,1000,1,20390606,0.13061862723709755,0.03167266509873917,False,0.516,0.1304026778414162,0.893458440354534,False
naive_risk_difference,0.15756724207145728,0.031040048955529226,0.09672986404025988,0.21840462010265468,ok,,,1000,2,20390607,0.13061862723709755,0.02694861483435973,True,0.47,0.1327667805116308,0.8773202903751878,False
logistic_gcomp_risk_difference,0.06839960557128177,0.00028111602696253484,0.06784862828295822,0.06895058285960533,ok,,,1000,2,20390607,0.13061862723709755,-0.06221902166581578,False,0.47,0.1327667805116308,0.8773202903751878,False
ipw_risk_difference,0.07018160372810738,0.04517136697747726,-0.018352648680189973,0.1587158561364047,ok,,,1000,2,20390607,0.13061862723709755,-0.060437023508990176,True,0.47,0.1327667805116308,0.8773202903751878,False
aipw_risk_difference,0.07147498642453834,0.031876152209263126,0.008998876128665734,0.13395109672041094,ok,,,1000,2,20390607,0.13061862723709755,-0.05914364081255921,True,0.47,0.1327667805116308,0.8773202903751878,False
adjusted_oracle_includes_U,0.08688406594139812,0.0012473863530949284,0.0844392336145253,0.08932889826827095,ok,,,1000,2,20390607,0.13061862723709755,-0.04373456129569943,False,0.47,0.1327667805116308,0.8773202903751878,False
naive_risk_difference,0.18317307692307694,0.030842353819022044,0.12272317423935233,0.24362297960680154,ok,,,1000,3,20390608,0.13061862723709755,0.05255444968597939,True,0.52,0.12620924944519102,0.8619905559175361,False
