estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_risk_difference,0.31572465308840575,0.02965291117036726,0.25760601515772047,0.37384329101909103,ok,,,1000,0,20490605,0.16264402820122092,0.15308062488718482,False,0.527,0.03544825632283319,0.9649320185218362,True
logistic_gcomp_risk_difference,0.24031885397183653,0.0010183378907169304,0.23832294838193885,0.2423147595617342,ok,,,1000,0,20490605,0.16264402820122092,0.0776748257706156,False,0.527,0.03544825632283319,0.9649320185218362,True
ipw_risk_difference,0.24362787500891175,0.042950911580606085,0.1594456352077595,0.327810114810064,ok,,,1000,0,20490605,0.16264402820122092,0.08098384680769083,True,0.527,0.03544825632283319,0.9649320185218362,True
aipw_risk_difference,0.23788041750696487,0.031349096008119616,0.17643731838316204,0.29932351663076767,ok,,,1000,0,20490605,0.16264402820122092,0.07523638930574394,False,0.527,0.03544825632283319,0.9649320185218362,True
adjusted_oracle_includes_U,0.15781159226174424,0.000940689175159424,0.15596787535778509,0.1596553091657034,ok,,,1000,0,20490605,0.16264402820122092,-0.004832435939476687,False,0.527,0.03544825632283319,0.9649320185218362,True
naive_risk_difference,0.30292859545971573,0.029823364024893464,0.24447587607309704,0.3613813148463344,ok,,,1000,1,20490606,0.16264402820122092,0.1402845672584948,False,0.518,0.036598626476690405,0.9625551658142747,True
logistic_gcomp_risk_difference,0.24923990969936913,0.0010435555133366154,0.24719457847736115,0.2512852409213771,ok,,,1000,1,20490606,0.16264402820122092,0.0865958814981482,False,0.518,0.036598626476690405,0.9625551658142747,True
ipw_risk_difference,0.24421766563868266,0.04314605616012162,0.15965294948990175,0.32878238178746355,ok,,,1000,1,20490606,0.16264402820122092,0.08157363743746174,True,0.518,0.036598626476690405,0.9625551658142747,True
aipw_risk_difference,0.24923358270350576,0.03053904394021712,0.189378156458394,0.3090890089486175,ok,,,1000,1,20490606,0.16264402820122092,0.08658955450228484,False,0.518,0.036598626476690405,0.9625551658142747,True
adjusted_oracle_includes_U,0.16172798951805117,0.0009313865092445229,0.15990250550424542,0.16355347353185692,ok,,,1000,1,20490606,0.16264402820122092,-0.0009160386831697509,True,0.518,0.036598626476690405,0.9625551658142747,True
naive_risk_difference,0.3295172722763564,0.029647006457625913,0.2714102073699832,0.3876243371827296,ok,,,1000,2,20490607,0.16264402820122092,0.16687324407513549,False,0.498,0.03705849824869494,0.9630332243126788,True
logistic_gcomp_risk_difference,0.24820955424599012,0.001273104602527092,0.24571431507648483,0.2507047934154954,ok,,,1000,2,20490607,0.16264402820122092,0.08556552604476919,False,0.498,0.03705849824869494,0.9630332243126788,True
ipw_risk_difference,0.2528148195865304,0.04431446287141736,0.16596006836431493,0.3396695708087459,ok,,,1000,2,20490607,0.16264402820122092,0.09017079138530948,False,0.498,0.03705849824869494,0.9630332243126788,True
aipw_risk_difference,0.2520691380350883,0.031542777587671426,0.19024642999089508,0.3138918460792815,ok,,,1000,2,20490607,0.16264402820122092,0.08942510983386737,False,0.498,0.03705849824869494,0.9630332243126788,True
adjusted_oracle_includes_U,0.17285448032112033,0.001164347755321768,0.17057240065520962,0.17513655998703104,ok,,,1000,2,20490607,0.16264402820122092,0.010210452119899405,False,0.498,0.03705849824869494,0.9630332243126788,True
naive_risk_difference,0.34238345121302,0.0294657653790196,0.28463161229323436,0.40013529013280563,ok,,,1000,3,20490608,0.16264402820122092,0.17973942301179907,False,0.487,0.037062453869888164,0.9668889356923319,True
logistic_gcomp_risk_difference,0.2612596071480975,0.001471743316899681,0.2583750432524866,0.26414417104370835,ok,,,1000,3,20490608,0.16264402820122092,0.09861557894687656,False,0.487,0.037062453869888164,0.9668889356923319,True
ipw_risk_difference,0.26807324291139073,0.043520018582409684,0.18277557388335386,0.3533709119394276,ok,,,1000,3,20490608,0.16264402820122092,0.1054292147101698,False,0.487,0.037062453869888164,0.9668889356923319,True
aipw_risk_difference,0.2672511721344515,0.03142650357244572,0.20565635697243853,0.3288459872964644,ok,,,1000,3,20490608,0.16264402820122092,0.10460714393323056,False,0.487,0.037062453869888164,0.9668889356923319,True
adjusted_oracle_includes_U,0.15492076023142784,0.001242246101420303,0.15248600261270875,0.15735551785014693,ok,,,1000,3,20490608,0.16264402820122092,-0.007723267969793085,False,0.487,0.037062453869888164,0.9668889356923319,True
naive_risk_difference,0.3522324365083185,0.0291385621169743,0.2951219041977656,0.40934296881887133,ok,,,1000,4,20490609,0.16264402820122092,0.18958840830709756,False,0.526,0.03294739080006638,0.9655174411597395,True
logistic_gcomp_risk_difference,0.27226384571763446,0.001077559084754182,0.27015186872030234,0.2743758227149666,ok,,,1000,4,20490609,0.16264402820122092,0.10961981751641353,False,0.526,0.03294739080006638,0.9655174411597395,True
ipw_risk_difference,0.274743757411488,0.042926326680713375,0.19060970312868897,0.358877811694287,ok,,,1000,4,20490609,0.16264402820122092,0.11209972921026706,False,0.526,0.03294739080006638,0.9655174411597395,True
aipw_risk_difference,0.27598324294734083,0.03184178478934919,0.21357449155674113,0.33839199433794054,ok,,,1000,4,20490609,0.16264402820122092,0.11333921474611991,False,0.526,0.03294739080006638,0.9655174411597395,True
adjusted_oracle_includes_U,0.17653618038104296,0.0010252200705051628,0.17452678596662524,0.17854557479546068,ok,,,1000,4,20490609,0.16264402820122092,0.013892152179822037,False,0.526,0.03294739080006638,0.9655174411597395,True
naive_risk_difference,0.39684122490993307,0.029058550302881327,0.3398875128733402,0.45379493694652595,ok,,,1000,5,20490610,0.16264402820122092,0.23419719670871214,False,0.464,0.026316801876844813,0.9687715293370261,True
logistic_gcomp_risk_difference,0.3029843469296846,0.0012869137002211742,0.30046204242603997,0.3055066514333293,ok,,,1000,5,20490610,0.16264402820122092,0.1403403187284637,False,0.464,0.026316801876844813,0.9687715293370261,True
ipw_risk_difference,0.3062368575061804,0.046743734855719477,0.21462082068608065,0.3978528943262801,ok,,,1000,5,20490610,0.16264402820122092,0.14359282930495948,False,0.464,0.026316801876844813,0.9687715293370261,True
aipw_risk_difference,0.30412238690667287,0.033007280054613876,0.23942930677200241,0.3688154670413433,ok,,,1000,5,20490610,0.16264402820122092,0.14147835870545195,False,0.464,0.026316801876844813,0.9687715293370261,True
adjusted_oracle_includes_U,0.19138566193766524,0.001392048309319443,0.18865729738665926,0.1941140264886712,ok,,,1000,5,20490610,0.16264402820122092,0.02874163373644431,False,0.464,0.026316801876844813,0.9687715293370261,True
