scenario,U_to_treatment_strength,U_to_outcome_strength,truth,positivity_warning,naive_bias,gcomp_bias,ipw_bias,aipw_bias,oracle_bias
U_A0_U_Y0,0.0,0.0,0.16907314718299088,False,0.10757390880287283,-0.005669737347422231,-0.00446197701757146,-0.006561167338609035,-0.005776843605822409
U_A0_U_Y0p5,0.0,0.5,0.16262259248056582,False,0.10960569395258579,-0.0004967737906125469,-0.0003816599589616523,-0.0006299202859785125,-0.0002600634066996097
U_A0_U_Y1,0.0,1.0,0.14759830312472688,False,0.0973978876236811,-0.005108208578844642,-0.005876174608147756,-0.005522176752242758,-0.005516538900025533
U_A0_U_Y1p5,0.0,1.5,0.13061862723709755,False,0.08281822760107091,-0.005442580523560584,-0.004305099339152607,-0.005638355049010809,-0.001272989622918708
U_A0p4_U_Y0,0.4,0.0,0.1689216458914039,False,0.11555057289385537,0.0029912532063619372,0.003822629856728858,0.003599846154999509,0.004035941843899009
U_A0p4_U_Y0p5,0.4,0.5,0.16265679541583672,False,0.14280601446452149,0.0417963344536578,0.04322281054951483,0.04216646414065328,0.0007842854358406194
U_A0p4_U_Y1,0.4,1.0,0.14754195996125885,False,0.1587961130286995,0.07178906322130552,0.07240436487511864,0.0722526739485512,-0.00044451530217750007
U_A0p4_U_Y1p5,0.4,1.5,0.1301826211903036,False,0.17059483393941677,0.09901103883284157,0.10218533865984322,0.1004988541495174,0.0028780923696695737
U_A0p8_U_Y0,0.8,0.0,0.1688965484384859,True,0.10667294798593288,0.0028585823146588967,0.0033532410069410773,0.0027944832921184444,0.0020355061771625974
U_A0p8_U_Y0p5,0.8,0.5,0.16271543277438527,True,0.15861474276766374,0.06890470134352919,0.06893055623158378,0.06797048355331711,-0.00558346533112306
U_A0p8_U_Y1,0.8,1.0,0.14749956847109513,True,0.20792089865118596,0.13430679649114166,0.13316340871915494,0.13337356156078065,0.0009608730805598355
U_A0p8_U_Y1p5,0.8,1.5,0.13041455288450676,True,0.23683826478394746,0.1775840341904536,0.17720529727312945,0.17840807268217568,-0.002988743604846634
U_A1p2_U_Y0,1.2,0.0,0.16901541252848218,True,0.09170142556183002,-0.0019558498379454023,-0.0004906850120901141,-0.002058024178805924,-0.003344353109663116
U_A1p2_U_Y0p5,1.2,0.5,0.16264402820122092,True,0.17877778820282325,0.09900738382104726,0.0992413560483141,0.09946408395706877,0.0009506489783912403
U_A1p2_U_Y1,1.2,1.0,0.14778512725359683,True,0.23789024968005065,0.17464240367177178,0.1754982839169246,0.17484283184961866,-0.003482909404865075
U_A1p2_U_Y1p5,1.2,1.5,0.1305689196055197,True,0.28689853148396843,0.23885733234691817,0.2399036397797289,0.23974024184192166,-0.003463940186773431
