sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
500,naive_difference,3.4348978045255802,1.4348978045255802,0.009086461744700541,1.4406116419954664,0.009050790566943094,0.12850197433339802,0.12117075279371713,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,adjusted_ols,1.994663870937548,-0.0053361290624520654,0.009387220506127149,0.13253051018792353,0.006430055790222303,0.13275534552751844,0.12702594595401748,0.92,0.019183326093250873,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,ipw,2.1347604250605583,0.13476042506055833,0.02186790394021154,0.33663513109511894,0.014531023611394217,0.30925886332919206,0.30043696990724705,0.825,0.02686773157525585,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
500,aipw,1.9605236096091434,-0.03947639039085657,0.015351505785058716,0.22012828678332286,0.013194417736416181,0.2171030768407906,0.18149943139008534,0.885,0.022558257911461158,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,naive_difference,3.4306181516021486,1.4306181516021486,0.006026433328851161,1.433141848362645,0.006019650693871036,0.0852266374639855,0.08555354968970807,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,adjusted_ols,1.991716453948706,-0.008283546051293899,0.006487970915564905,0.0918981865371995,0.004435496998530198,0.09175376461074077,0.0895094621024019,0.945,0.016120638945153514,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,ipw,2.152887209496923,0.15288720949692342,0.014664242860789083,0.25723036862920495,0.009648416052355597,0.20738371135660763,0.21450752157845077,0.805,0.028015620642777128,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
1000,aipw,1.9882133440316392,-0.011786655968360635,0.009938803962585263,0.14069865058361397,0.007678574186847409,0.14055591357655536,0.13155724100469304,0.945,0.016120638945153514,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,naive_difference,3.4333552824315587,1.433355282431559,0.00441631282430669,1.4347085507683848,0.004394924049687358,0.06245609491816749,0.060615251759042775,0.0,0.0,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,adjusted_ols,1.9991225987057504,-0.0008774012942493925,0.00463486848015548,0.06538875280100215,0.0035228342526333373,0.06554693864451454,0.06300050221946725,0.945,0.016120638945153514,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,ipw,2.150882515473275,0.1508825154732751,0.011346469220678885,0.21996650623885897,0.00860916701798447,0.16046330656932967,0.1635102968327529,0.75,0.030618621784789725,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
2000,aipw,2.0035391203287793,0.003539120328779086,0.008136400827418165,0.11483260877973367,0.005173404701474944,0.11506608399038443,0.09937574138437888,0.925,0.01862458053218917,200,200,200,200,0,0,0,0.0,0.0,200,,,ok
