estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_difference,3.3682365208263216,0.12043851976635284,3.1321813597329546,3.6042916819196886,ok,,,500,0,20360605,2.0,1.3682365208263216,False,0.606,0.0017106244684596634,0.9996333916622971,True
adjusted_ols,1.9079465022594035,0.12494752554617637,1.6630538522314995,2.1528391522873074,ok,,,500,0,20360605,2.0,-0.09205349774059646,True,0.606,0.0017106244684596634,0.9996333916622971,True
ipw,2.134511714617981,0.17878515450037952,1.784099250826808,2.484924178409154,ok,,,500,0,20360605,2.0,0.13451171461798106,True,0.606,0.0017106244684596634,0.9996333916622971,True
aipw,1.7816142286460572,0.12671571986072802,1.5332559814439635,2.029972475848151,ok,,,500,0,20360605,2.0,-0.21838577135394277,True,0.606,0.0017106244684596634,0.9996333916622971,True
naive_difference,3.4960540051054503,0.12391509942501572,3.2531848730917194,3.738923137119181,ok,,,500,1,20360606,2.0,1.4960540051054503,False,0.564,0.0016622337014268337,0.9995489192227758,True
adjusted_ols,2.102215234572486,0.12067419287335163,1.8656981626772768,2.3387323064676955,ok,,,500,1,20360606,2.0,0.10221523457248605,True,0.564,0.0016622337014268337,0.9995489192227758,True
ipw,2.3423797973525957,0.3615512475026831,1.6337523736818098,3.0510072210233816,ok,,,500,1,20360606,2.0,0.3423797973525957,True,0.564,0.0016622337014268337,0.9995489192227758,True
aipw,2.1386831465753637,0.26230711254913125,1.624570653090372,2.652795640060355,ok,,,500,1,20360606,2.0,0.13868314657536374,True,0.564,0.0016622337014268337,0.9995489192227758,True
naive_difference,3.294324678886168,0.11815866350455073,3.0627379539558617,3.5259114038164747,ok,,,500,2,20360607,2.0,1.2943246788861682,False,0.552,0.0014033676631369674,0.999689447606776,True
adjusted_ols,1.8724777282078389,0.12387151997817537,1.6296940103403814,2.1152614460752965,ok,,,500,2,20360607,2.0,-0.12752227179216113,True,0.552,0.0014033676631369674,0.999689447606776,True
ipw,1.8093205713247855,0.21826115792817818,1.3815365625615474,2.237104580088024,ok,,,500,2,20360607,2.0,-0.19067942867521448,True,0.552,0.0014033676631369674,0.999689447606776,True
aipw,1.6634991161377486,0.13440181776587573,1.4000763938599166,1.9269218384155806,ok,,,500,2,20360607,2.0,-0.3365008838622514,False,0.552,0.0014033676631369674,0.999689447606776,True
naive_difference,3.1286672983285353,0.11856870288493206,2.896276910980438,3.3610576856766325,ok,,,500,3,20360608,2.0,1.1286672983285353,False,0.55,0.0012364697157665077,0.9998192955002366,True
adjusted_ols,1.9690744508410387,0.11442964884345276,1.7447964603443058,2.1933524413377716,ok,,,500,3,20360608,2.0,-0.030925549158961285,True,0.55,0.0012364697157665077,0.9998192955002366,True
ipw,1.8699053078837644,0.20816556177225817,1.4619083039885905,2.2779023117789383,ok,,,500,3,20360608,2.0,-0.1300946921162356,True,0.55,0.0012364697157665077,0.9998192955002366,True
aipw,1.784936751382013,0.12005254589863854,1.5496380851683396,2.020235417595686,ok,,,500,3,20360608,2.0,-0.2150632486179871,True,0.55,0.0012364697157665077,0.9998192955002366,True
naive_difference,3.449326186143302,0.12007402865609429,3.213985414498727,3.6846669577878775,ok,,,500,4,20360609,2.0,1.4493261861433022,False,0.564,0.001419645553962398,0.9996495786310577,True
adjusted_ols,2.035647946886672,0.12232684678042488,1.79589173285469,2.2754041609186544,ok,,,500,4,20360609,2.0,0.035647946886672166,True,0.564,0.001419645553962398,0.9996495786310577,True
ipw,2.076061343912125,0.17195084131435126,1.7390438878246348,2.4130787999996155,ok,,,500,4,20360609,2.0,0.07606134391212516,True,0.564,0.001419645553962398,0.9996495786310577,True
aipw,1.9856135604689376,0.12630387091414355,1.73806252236922,2.233164598568655,ok,,,500,4,20360609,2.0,-0.014386439531062445,True,0.564,0.001419645553962398,0.9996495786310577,True
